Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,1405,620552.0,0,33611480,0,0,4126.0,0,20048,0,0,0
24514,47,156,1405,2103275.0,13,39224624,122,7263,1683108.0,3091,16957,1445669,1586814,1581273
24716,47,160,1405,3574292.0,13,39584336,228,16656,3163800.0,3196,16852,2767466,3066121,3054360
24918,47,160,1405,4992535.0,13,39789792,334,28431,4596637.0,3196,16852,4036233,4497704,4479951
25120,47,160,1405,6633246.0,13,39999440,440,42644,6252092.0,3196,16852,5497500,6151939,6127503
70784,82,344,1405,8669450.0,35,37762432,600,47233,8292700.0,6141,13907,7417289,7809514,7776856
71038,83,344,1405,9881629.0,50,38086904,700,48633,9506531.0,6143,13905,8575331,9014398,8973697
135031,99,366,1405,10883867.0,107,41731832,760,57264,10510586.0,6576,13472,9479182,9214983,9158973
135199,99,366,1405,12500903.0,107,42074776,864,73606,12130223.0,6576,13472,10860746,10812142,10748271
202786,103,367,1405,13506348.0,160,43137768,928,83630,13138303.0,6709,13339,11770883,11080451,11010155
232754,109,388,1405,15006840.0,165,43379992,1049,87360,14640232.0,6984,13064,13187572,12328646,12252382
232956,109,388,1405,16341853.0,165,40129536,1155,88739,15976999.0,6984,13064,14471813,13658862,13577832
271907,110,388,1405,18248293.0,181,40784600,1300,97305,17886084.0,6996,13052,16274291,14972333,14885163
333780,114,386,1405,19247151.0,197,43973904,1365,109338,18886097.0,7007,13041,17182908,15129983,15040842
393737,117,403,1405,20302260.0,230,46001248,1412,123953,19942222.0,7176,12872,18101066,15288643,15184379
418176,123,409,1405,21318780.0,253,46447032,1471,137215,20961194.0,7315,12733,19037704,15695480,15589051
428090,123,409,1405,23070685.0,254,43755640,1582,140063,22721147.0,7315,12733,20706271,17226079,17112741
447297,123,409,1405,26096886.0,268,44309920,1718,157793,25750553.0,7315,12733,23608097,19497681,19374502
464272,124,408,1405,27172205.0,284,47960576,1755,172976,26829030.0,7315,12733,24578244,19803555,19678004
507755,124,408,1405,28171276.0,312,48410864,1815,182963,27829072.0,7321,12727,25471094,20172990,20040348
585422,125,410,1405,29182381.0,331,48753696,1869,188242,28840930.0,7362,12686,26384066,20225590,20090974
638923,126,412,1405,30179046.0,359,49122856,1928,193300,29848772.0,7416,12632,27303867,20556659,20417887
679925,126,412,1405,31177603.0,364,49248592,1978,200381,30860136.0,7418,12630,28244853,20662534,20522323
728284,126,413,1405,32168960.0,371,49402480,2033,206102,31860924.0,7424,12624,29134641,20753958,20610341
787265,127,413,1405,33147435.0,394,49412024,2087,211981,32860916.0,7425,12623,29998657,20862966,20717122
838947,130,416,1405,34141765.0,415,49858648,2141,221041,33872320.0,7492,12556,30929952,20980963,20830901
875696,130,416,1405,35922705.0,430,47474936,2251,226158,35657320.0,7492,12556,32602763,22468643,22305699
939437,130,416,1405,36880937.0,499,48347280,2310,234300,36666743.0,7501,12547,33498588,22641052,22469046
950162,130,416,1405,38753505.0,517,51720376,2434,237089,38560823.0,7501,12547,35312242,24368139,24186992
950364,130,416,1405,40141147.0,517,48551304,2538,238432,39958750.0,7501,12547,36645211,25759664,25571304
994794,130,416,1405,41124139.0,525,51815336,2591,249477,40959355.0,7501,12547,37575551,25834971,25642765
1026456,132,414,1405,42107819.0,528,51896320,2649,255303,41965540.0,7520,12528,38512249,26177309,25983540
1027176,132,414,1405,43099057.0,528,51956352,2697,258663,42969567.0,7520,12528,39462700,27150266,26953086
1027941,132,414,1405,44107816.0,528,52126888,2748,262233,43979362.0,7520,12528,40441000,28153815,27952971
1045079,133,413,1405,45115286.0,531,52335224,2796,266850,44990206.0,7526,12522,41412576,28964240,28761021
1081661,133,413,1405,46089143.0,537,53070720,2847,281428,45997929.0,7526,12522,42335661,29114937,28909469
1154597,134,418,1405,47087344.0,597,53981520,2912,290367,47009512.0,7570,12478,43252257,29218131,29008442
1201530,134,419,1405,48079383.0,602,53812488,2974,296722,48018737.0,7572,12476,44190691,29285559,29073829
1269821,135,419,1405,49058893.0,642,55375864,3035,311518,49018860.0,7581,12467,45105846,29346256,29129507
1344223,135,419,1405,50059539.0,702,56155728,3113,319175,50031931.0,7584,12464,46012623,29578643,29356350
1491638,135,419,1405,51031582.0,733,56922960,3179,332146,51037314.0,7584,12464,46875850,29582881,29356465
1561083,135,419,1405,51998310.0,754,57290248,3246,340362,52054091.0,7587,12461,47794788,29645186,29416361
1613248,135,419,1405,53135504.0,769,54398144,3317,348060,53199533.0,7587,12461,48834602,29888448,29657143
1699472,135,419,1405,54131743.0,817,57896296,3378,354735,54200708.0,7587,12461,49736597,29893255,29658862
1757889,136,418,1405,55118780.0,822,58200336,3430,369940,55204364.0,7589,12459,50651807,29934238,29692562
1819003,136,418,1405,56094558.0,842,58017192,3496,378076,56218418.0,7589,12459,51580910,29999758,29756068
1830682,136,418,1405,57647000.0,841,55221888,3609,381233,57776423.0,7589,12459,53063943,31271417,31023147
1878185,143,417,1405,58636847.0,861,58316016,3671,391387,58790137.0,7627,12421,54002295,31341689,31092694
1924399,143,417,1405,59625721.0,883,59409632,3722,401589,59804075.0,7627,12421,54900747,31536810,31283869
1961600,143,417,1405,60670226.0,902,59879560,3773,423551,60869412.0,7631,12417,55902641,31566808,31311770
2003223,143,417,1405,61651326.0,919,59722448,3828,435388,61879412.0,7631,12417,56807434,31705754,31448368
2082854,143,417,1405,62629687.0,937,60169376,3891,444370,62882689.0,7632,12416,57713914,31727339,31466772
2108691,143,417,1405,63627925.0,963,61078496,3937,457256,63910325.0,7632,12416,58634815,31947548,31682164
2125831,143,417,1405,64618006.0,968,61266456,3974,475037,64913797.0,7635,12413,59589175,31991565,31723761
2135463,143,417,1405,67094906.0,970,61377600,4107,488119,67401146.0,7635,12413,61792144,34252837,33967444
2135665,143,417,1405,68828918.0,970,61590736,4213,501484,69139497.0,7635,12413,63289536,35989468,35696021
2135867,143,417,1405,70696638.0,970,61816560,4319,517287,71008604.0,7635,12413,64887281,37856845,37552071
2136069,143,417,1405,72459296.0,970,62036752,4425,535528,72789961.0,7635,12413,66382768,39636551,39323735
2211939,143,417,1405,73435151.0,979,62136832,4499,543105,73799745.0,7635,12413,67299894,39758857,39442828
2274454,143,417,1405,74412996.0,977,62114624,4576,551721,74811038.0,7635,12413,68212044,39759093,39442837
2305139,144,418,1405,75404602.0,995,62569104,4646,563527,75811385.0,7657,12391,69101951,40298051,39975069
2313942,144,418,1405,76487537.0,995,62704656,4733,567780,76903147.0,7658,12390,70126828,41285178,40956594
2366198,144,418,1405,77463670.0,1021,63114008,4793,577017,77917800.0,7658,12390,71045034,41432152,41100373
2418965,146,424,1405,78464960.0,1038,63296248,4850,582076,78928436.0,7762,12286,71969415,41606539,41273343
2462737,146,424,1405,80310719.0,1043,60653272,4904,590993,80812380.0,7762,12286,73769764,42949819,42614411
2529368,147,423,1405,81332814.0,1087,61375720,4965,599330,81855399.0,7762,12286,74703718,43277436,42935975
2540272,147,423,1405,82702025.0,1087,64483792,5080,601993,83234177.0,7762,12286,76002076,44493446,44141237
2540474,147,423,1405,84009562.0,1087,61334080,5184,603336,84546489.0,7762,12286,77248711,45798911,45440236
2631561,147,423,1405,84972069.0,1130,65295440,5253,616412,85546497.0,7762,12286,78109082,45875927,45510106
2694368,147,423,1405,86905408.0,1170,63217288,5394,622129,87501207.0,7762,12286,79921757,47304790,46925005
2780159,147,423,1405,87879852.0,1217,66976408,5466,637121,88504673.0,7762,12286,80818167,47409457,47025869
2828332,147,423,1405,88839503.0,1222,67998336,5527,653106,89506392.0,7762,12286,81756654,47411217,47026484
2905828,147,423,1405,89814297.0,1264,68739464,5588,660473,90512241.0,7762,12286,82666628,47415066,47026643
2953169,147,423,1405,90797257.0,1313,69465472,5628,663085,91512806.0,7766,12282,83548044,47989053,47587572
2986702,147,423,1405,91764047.0,1321,66714136,5668,668020,92524820.0,7769,12279,84411261,48557873,48146323
3053922,147,423,1405,92746755.0,1351,70045344,5734,675675,93524807.0,7769,12279,85313811,48565776,48147817
3104277,147,423,1405,93655828.0,1401,70766720,5778,686510,94524941.0,7769,12279,86174291,48920338,48496419
3168374,147,423,1405,96206320.0,1426,71259384,5918,693442,97392301.0,7769,12279,88851259,50785936,50350272
3206267,147,423,1405,97152476.0,1456,71068064,5954,698100,98397442.0,7769,12279,89757895,50864017,50426844
3237230,149,421,1405,98079446.0,1457,71112320,5992,702200,99421397.0,7771,12277,90694363,50865613,50426901
3277782,149,421,1405,99050236.0,1455,71095072,6043,707364,100434395.0,7771,12277,91631944,50865811,50426901
3306289,149,421,1405,100051558.0,1459,71718456,6087,719072,101467907.0,7771,12277,92611372,50867611,50427372
3307272,149,421,1405,101689153.0,1459,68900496,6187,722035,103153390.0,7771,12277,94207097,52476243,52024782
3341724,149,421,1405,102670289.0,1476,71663008,6234,732280,104163353.0,7771,12277,95146429,52639750,52186894
3380252,149,421,1405,103623788.0,1495,72004952,6279,740206,105167908.0,7771,12277,96061380,52643055,52187169
3432257,149,421,1405,104588274.0,1522,72577552,6336,746818,106174066.0,7771,12277,96963708,52648808,52187314
3472186,149,421,1405,105531528.0,1521,72576432,6385,755319,107191772.0,7771,12277,97909150,52649746,52187682
3505476,149,421,1405,106645307.0,1522,73178624,6423,762695,108340829.0,7771,12277,98966919,52786538,52323410
3518709,149,421,1405,107620874.0,1520,73124152,6451,772408,109358828.0,7771,12277,99872086,52906608,52441979
3547645,149,421,1405,108605524.0,1540,73232744,6489,781088,110364911.0,7771,12277,100786081,53053627,52582126
3590524,149,421,1405,109550770.0,1573,73547432,6528,786252,111367153.0,7771,12277,101692753,53097277,52618332
3640063,149,421,1405,110446414.0,1603,73905696,6576,791102,112374075.0,7771,12277,102606127,53120313,52636162
3676812,149,421,1405,111167977.0,1625,74760504,6615,804309,113378230.0,7771,12277,103530117,53197024,52711124
3719965,149,421,1405,111893855.0,1658,75144600,6656,812911,114394846.0,7774,12274,104432893,53260103,52766668
3743340,149,421,1405,112598813.0,1663,75221576,6687,816607,115403490.0,7774,12274,105330644,53261774,52767240
3745230,149,424,1405,114090014.0,1663,75409608,6787,819904,117401884.0,7797,12251,107171607,55200533,54694098
3745435,149,424,1405,115450545.0,1664,75488248,6879,824511,119339176.0,7797,12251,108964893,57135492,56609956
3745637,149,424,1405,116927334.0,1664,75564584,6968,827063,121020815.0,7797,12251,110518872,58777364,58243240
3772234,149,424,1405,117912657.0,1681,76025112,7009,835745,122029812.0,7797,12251,111448129,58954377,58405424
3804238,149,424,1405,118884304.0,1703,76436704,7047,850594,123036360.0,7797,12251,112330279,58987499,58426512
3841029,149,424,1405,119881059.0,1702,76426296,7094,856108,124054611.0,7797,12251,113284820,58988623,58427113
3868061,149,424,1405,120615440.0,1704,76498536,7127,861934,125058111.0,7797,12251,114180687,59107211,58544812
3891910,149,424,1405,121308927.0,1708,76598584,7163,866720,126062487.0,7797,12251,115034577,59110001,58544852
3919408,149,424,1405,122006074.0,1709,76780864,7194,875357,127075067.0,7797,12251,115946800,59213607,58645772
3940332,149,424,1405,122742318.0,1712,76930896,7228,885444,128121860.0,7797,12251,116880301,59327704,58750583
3967184,149,424,1405,123437635.0,1714,77048088,7264,898049,129126638.0,7797,12251,117727328,59480493,58900954
3969765,149,424,1405,125167134.0,1715,77158352,7353,901047,131388046.0,7797,12251,119882489,61672761,61086014
4028085,149,424,1405,126056069.0,1738,76869432,7401,905842,132418362.0,7797,12251,120760640,61708873,61119211
4066918,149,424,1405,127019206.0,1786,77964248,7449,918487,133426009.0,7797,12251,121669919,61783180,61183160
4095038,149,424,1405,127999508.0,1787,78443136,7491,931166,134426248.0,7797,12251,122611431,61787502,61186116
4132661,149,424,1405,129038823.0,1786,78563424,7542,941383,135500066.0,7797,12251,123622672,61790064,61186867
4195561,149,424,1405,129901385.0,1874,80007240,7579,951186,136639540.0,7797,12251,124657984,61963880,61350022
4209726,149,424,1405,130766331.0,1876,79995232,7602,967286,137652268.0,7797,12251,125606368,61967787,61351258
4262313,150,423,1405,133117092.0,1894,80370168,7720,973246,140309678.0,7804,12244,128068019,63776264,63148627
4315466,150,423,1405,134002361.0,1897,80341248,7771,981522,141310613.0,7804,12244,128988367,63777704,63149101
4347216,150,423,1405,134875349.0,1899,80362432,7819,987500,142310665.0,7804,12244,129915958,63860625,63230672
4383855,150,423,1405,135635393.0,1916,80798248,7853,995174,143314757.0,7804,12244,130797074,63863066,63230901
4412675,150,423,1405,136527309.0,1920,80799096,7897,1001509,144342455.0,7804,12244,131752770,63864315,63231171
4450397,150,423,1405,137445815.0,1923,80846272,7941,1006524,145343555.0,7804,12244,132683360,63865208,63231630
4493959,150,423,1405,138148724.0,1927,80949048,7971,1010706,146360322.0,7804,12244,133583711,63866659,63232021
4528245,150,423,1405,139012100.0,1945,77971632,8006,1015472,147420346.0,7804,12244,134537791,64060518,63423980
4536794,150,423,1405,139805131.0,1947,81221248,8028,1026578,148435950.0,7804,12244,135476472,64215536,63577528
4574547,151,424,1405,140664825.0,1960,81397504,8069,1033556,149466230.0,7827,12221,136413049,64283106,63638439
4612373,151,424,1405,141575969.0,1962,81424888,8114,1038944,150512948.0,7827,12221,137382978,64284237,63638875
4630194,151,424,1405,142346091.0,1967,81556152,8140,1041613,151557947.0,7827,12221,138365796,64392520,63746063
4663028,152,423,1405,144552774.0,1984,81935112,8242,1047315,154058267.0,7827,12221,140700503,66682132,66023984
4685718,152,423,1405,145374584.0,1985,81919392,8271,1051104,155067692.0,7827,12221,141553864,66796519,66137530
4688319,152,423,1405,147455962.0,1985,79121392,8372,1053430,158119854.0,7827,12221,144510385,69622742,68955771
4706169,152,423,1405,148147125.0,2014,82194920,8398,1063538,159125008.0,7827,12221,145421997,69821861,69148973
4736509,152,423,1405,148989884.0,2015,82129496,8437,1068365,160135803.0,7827,12221,146365487,69941351,69267847
4778855,152,423,1405,149820795.0,2017,82218904,8477,1072607,161166978.0,7827,12221,147301594,69941713,69267847
4813305,152,423,1405,150776072.0,2019,82718056,8511,1077984,162203543.0,7827,12221,148265993,69943154,69268193
4838423,152,423,1405,151579675.0,2020,82796592,8540,1087560,163211112.0,7827,12221,149229944,69945434,69269253
4855916,152,423,1405,152316075.0,2019,82828936,8568,1092258,164232771.0,7827,12221,150131824,69946295,69269786
4906710,152,423,1405,153157409.0,2056,83247096,8606,1099964,165239258.0,7827,12221,150988450,69976903,69292219
4934695,152,423,1405,154018253.0,2077,83643176,8641,1106208,166244573.0,7829,12219,151907704,70076413,69386710
4965993,152,423,1405,154938290.0,2079,83747176,8685,1113400,167254540.0,7829,12219,152850226,70077040,69386774
5011577,152,423,1405,155862296.0,2082,83762376,8727,1120552,168263659.0,7829,12219,153792486,70077601,69386798
5058499,152,423,1405,156822811.0,2088,83859720,8766,1125164,169281432.0,7829,12219,154716140,70147521,69445823
5058514,152,423,1405,158623280.0,2088,83675976,8867,1126679,171203227.0,7829,12219,156545410,72067660,71354190
5103747,152,423,1405,159607611.0,2090,83638840,8927,1134101,172212688.0,7829,12219,157484342,72136645,71422178
5144515,152,423,1405,160540643.0,2090,80537904,8987,1140007,173221715.0,7829,12219,158408083,72369577,71651786
5145121,152,423,1405,162720826.0,2090,84146128,9106,1155902,175636560.0,7829,12219,160492634,74781486,74047064
5145323,152,423,1405,165042793.0,2090,80987840,9212,1157641,178329928.0,7829,12219,163012552,77405832,76655383
5202849,158,417,1405,165966623.0,2099,84252168,9259,1169075,179364585.0,7829,12219,163964370,77487680,76735354
5233100,158,417,1405,166703378.0,2127,84822432,9296,1176806,180364922.0,7829,12219,164858443,77493083,76735592
5277770,158,417,1405,167526959.0,2143,85103832,9341,1184220,181369347.0,7829,12219,165749045,77501260,76735753
5316804,158,417,1405,168476824.0,2142,85066760,9396,1189759,182385588.0,7829,12219,166706556,77535932,76770095
5377153,158,417,1405,169408843.0,2191,86117600,9445,1195511,183385695.0,7829,12219,167588529,77591770,76814440
5411634,158,417,1405,170212669.0,2229,86653424,9480,1199222,184401960.0,7829,12219,168520744,77666802,76883157
5436029,158,417,1405,171124132.0,2229,87196936,9512,1208042,185412724.0,7829,12219,169399646,77667177,76883169
5523518,158,417,1405,172049292.0,2278,87980304,9551,1216349,186431926.0,7829,12219,170284928,77675636,76883883
5578527,158,417,1405,172940712.0,2298,88293232,9595,1224971,187431937.0,7829,12219,171142702,77680355,76885345
5610483,158,417,1405,173865800.0,2296,88218616,9636,1229591,188442111.0,7829,12219,172062341,77684710,76885460
5647203,158,417,1405,174719831.0,2311,88535808,9676,1237990,189460468.0,7829,12219,172979667,77689349,76886611
5685589,158,417,1405,175659172.0,2357,89446856,9716,1245609,190482123.0,7829,12219,173898358,77698136,76886969
5732175,158,417,1405,176601804.0,2358,89425016,9764,1253503,191497695.0,7829,12219,174830147,77726016,76914049
5768637,158,417,1405,177414516.0,2379,89802640,9804,1267047,192505550.0,7829,12219,175768843,77731649,76916576
5808573,158,417,1405,178248230.0,2393,89950656,9843,1272717,193505578.0,7829,12219,176684431,77732618,76916718
5853900,158,417,1405,180540476.0,2412,90286624,9989,1280445,196090585.0,7832,12216,179084926,79399116,78574553
5898024,158,417,1405,181493804.0,2413,90922288,10046,1292292,197147923.0,7832,12216,180066302,79401145,78575465
5942300,158,417,1405,182414922.0,2429,91244408,10106,1305202,198158989.0,7832,12216,180964890,79404622,78576246
6002058,158,417,1405,183318557.0,2449,91718896,10151,1310594,199164151.0,7832,12216,181835445,79409334,78576576
6056961,158,417,1405,184199976.0,2480,92157416,10191,1318443,200169236.0,7832,12216,182715462,79415261,78577431
6107715,158,417,1405,185106905.0,2489,92274648,10243,1324152,201174016.0,7832,12216,183613870,79454303,78614130
6154998,158,417,1405,186016375.0,2530,92950112,10288,1330611,202175469.0,7832,12216,184526520,79459074,78614346
6215348,158,417,1405,186999303.0,2565,93317656,10339,1341461,203196782.0,7832,12216,185442947,79462661,78614534
6248221,158,417,1405,187973963.0,2581,93215344,10392,1352058,204217700.0,7832,12216,186387889,79547875,78696376
6266156,158,417,1405,188801722.0,2594,95132368,10421,1368822,205232255.0,7832,12216,187328144,79562234,78697153
6292353,158,417,1405,189393653.0,2594,95088840,10462,1373294,206235043.0,7832,12216,188239276,79562640,78697153
6349460,158,417,1405,190042893.0,2622,95510720,10494,1377330,207253344.0,7832,12216,189122696,79575376,78698356
6370665,158,417,1405,190587137.0,2624,95552712,10524,1380596,208257018.0,7832,12216,189998060,79576116,78698368
