Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,1405,1006073.0,0,33590616,0,0,4348.0,0,20048,0,0,0
24514,47,156,1405,2542056.0,13,39190480,122,7263,1550184.0,3091,16957,1324102,1459834,1454028
24716,47,160,1405,3957082.0,13,39531760,228,16656,2965812.0,3196,16852,2574566,2874195,2862597
24918,47,160,1405,5382798.0,13,39755648,334,28431,4392139.0,3196,16852,3831274,4299053,4279075
25120,47,160,1405,6966920.0,13,39965296,440,42644,5976904.0,3196,16852,5219464,5881495,5854808
70784,82,344,1405,8670722.0,35,37726800,576,45097,7681975.0,6141,13907,6814968,7537991,7503826
71038,83,344,1405,9860144.0,50,38051272,676,46497,8871888.0,6143,13905,7949910,8718945,8675676
135199,99,366,1405,11852223.0,107,42033112,792,63564,10864800.0,6576,13472,9639985,10662205,10590428
232754,109,388,1405,13446614.0,165,43341816,914,66674,12459961.0,6984,13064,11024785,12119140,12035881
232956,109,388,1405,14854907.0,165,40091360,1020,68053,13868873.0,6984,13064,12380303,13521610,13433252
271907,110,388,1405,16170015.0,181,40727320,1131,70591,15184527.0,6996,13052,13601118,14794757,14700464
428090,123,409,1405,18301021.0,254,43349624,1268,76508,17328105.0,7315,12733,15462092,16792058,16674439
447297,123,409,1405,19608853.0,268,43248016,1373,79291,18644484.0,7315,12733,16698008,18087021,17963202
605505,125,410,1405,20687628.0,334,44793200,1424,85013,19745223.0,7365,12683,17533547,19025391,18889044
940619,129,419,1405,21662667.0,472,49814744,1470,87138,20758768.0,7514,12534,18239821,19780045,19627533
968320,129,420,1405,23333115.0,471,49702520,1579,89785,22434086.0,7516,12532,19803477,21429066,21265521
968522,129,420,1405,25209700.0,471,46542888,1683,91128,24311470.0,7516,12532,21588711,23280542,23109841
1075549,129,420,1405,27594221.0,508,47548824,1796,93572,26708028.0,7526,12522,23783982,25564007,25376180
1314991,129,420,1405,28610944.0,681,53300496,1845,95833,27779928.0,7535,12513,24530182,26375169,26162114
1326228,131,418,1405,29600972.0,699,53712944,1891,98965,28786810.0,7554,12494,25489922,27367242,27147586
1326873,131,418,1405,30602775.0,699,53832280,1934,101975,29789012.0,7554,12494,26465571,28364471,28141509
1327488,131,418,1405,31624469.0,699,53913488,1975,104845,30814775.0,7554,12494,27464741,29384235,29157675
1415180,140,421,1405,32603341.0,729,51393496,2004,107338,31814770.0,7637,12411,28314939,30253233,30022473
1602143,140,421,1405,34734871.0,830,55889256,2115,110100,33963248.0,7637,12411,30164631,32213725,31950800
1930530,144,418,1405,35679518.0,984,55891272,2143,113617,34971045.0,7664,12384,30663318,32841980,32539683
