Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,2415,1230587.0,0,41710288,0,0,3610.0,0,31048,0,0,0
88515,72,309,2415,2296944.0,14,47497864,84,7193,1072153.0,5579,25469,916730,229644,228613
126918,90,342,2415,3773574.0,39,45246680,273,13519,2550726.0,6202,24846,2316945,1416122,1407092
147857,92,348,2415,4781861.0,58,49102720,364,25258,3559965.0,6300,24748,3276094,2153952,2140646
149102,92,348,2415,5792137.0,58,49485160,447,31068,4571196.0,6300,24748,4251459,3159458,3140597
320611,113,358,2415,6799054.0,155,51465408,549,42399,5579147.0,6665,24383,5124282,3432915,3406744
323320,113,358,2415,7801221.0,156,51859384,630,48221,6585446.0,6665,24383,6095805,4402386,4371495
339135,114,360,2415,8833072.0,177,49447448,718,55279,7621352.0,6713,24335,7081536,5293808,5255725
557325,120,366,2415,9816391.0,220,53948520,809,68658,8630932.0,6794,24254,7900711,5392309,5329946
636473,121,370,2415,10807183.0,273,54926416,895,81514,9639266.0,6847,24201,8806611,5786918,5718921
654949,124,373,2415,11805773.0,292,55416136,1016,88457,10646702.0,6914,24134,9750221,6592730,6518822
717928,130,420,2415,13081344.0,314,53661608,1157,97382,11939698.0,7351,23697,10886553,7505317,7412696
766690,131,419,2415,14327340.0,360,54898592,1293,106753,13186639.0,7357,23691,12043253,8482818,8383129
880951,133,420,2415,15306173.0,404,58494568,1384,125161,14190314.0,7378,23670,12921964,8520156,8408316
938028,134,436,2415,16277584.0,410,58788728,1465,138577,15196352.0,7503,23545,13842545,8829896,8716061
1007119,134,436,2415,17645881.0,452,57028448,1619,151552,16573719.0,7505,23543,15096726,9598860,9468047
1126827,134,436,2415,19203502.0,528,59128968,1787,167506,18148947.0,7508,23540,16508502,10458640,10315961
1197800,135,448,2415,20167878.0,590,64711064,1872,195299,19151623.0,7631,23417,17362105,10634877,10485200
1346768,136,449,2415,21148752.0,646,65940992,1970,214179,20153674.0,7638,23410,18231715,10736077,10581840
1476766,136,449,2415,22119231.0,685,66678312,2064,231534,21163376.0,7640,23408,19114908,10806086,10644959
1565925,136,449,2415,23101173.0,696,67154376,2155,250735,22166389.0,7642,23406,19959462,10930840,10767689
1675397,136,449,2415,24078262.0,748,68501280,2247,274160,23173039.0,7642,23406,20820642,10966430,10782860
