Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,2415,1204216.0,0,41646320,0,0,2998.0,0,31048,0,0,0
125944,90,342,2415,2273964.0,39,44820328,77,1420,1078004.0,6202,24846,885351,909883,903834
147137,92,348,2415,3263910.0,58,48778784,193,3611,2080954.0,6300,24748,1840953,1896461,1885308
148352,92,348,2415,4271443.0,58,49238296,274,9281,3091395.0,6300,24748,2816658,2901309,2884817
322195,113,358,2415,5269731.0,156,51268952,359,13774,4093048.0,6665,24383,3686882,3805438,3778450
323335,113,358,2415,6279290.0,156,51785520,435,19094,5103017.0,6665,24383,4664443,4810075,4778291
367519,120,366,2415,7278315.0,180,49541032,510,24134,6103057.0,6792,24256,5595768,5776826,5730784
646678,124,373,2415,8673021.0,276,52198336,649,29270,7503034.0,6914,24134,6748500,7007499,6934344
717928,130,420,2415,9793614.0,314,53546424,758,32031,8625320.0,7351,23697,7744862,8073543,7984965
766690,131,419,2415,10841288.0,360,54781584,870,33630,9674052.0,7357,23691,8717651,9083603,8987620
1007119,134,436,2415,12235215.0,452,56955408,985,37170,11072077.0,7505,23543,9883069,10324740,10196951
1147526,134,436,2415,13226580.0,548,59181960,1092,39090,12072524.0,7508,23540,10708968,11196190,11056254
1776804,136,450,2415,14199887.0,781,69266120,1129,45766,13076805.0,7648,23400,11123241,11765303,11577270
2185644,137,454,2415,15911189.0,897,74373488,1148,46956,14835599.0,7728,23320,12550449,13232345,13014546
2185652,137,454,2415,16994968.0,897,74473208,1149,47115,15923685.0,7736,23312,13637252,14319982,14102088
2185654,137,455,2415,19140461.0,897,77500088,1150,49400,18078533.0,7738,23310,15790859,16474599,16256618
2252767,137,458,2415,20384283.0,917,75379992,1262,53500,19326430.0,7752,23296,16931484,17669551,17442148
2784475,140,455,2415,21383347.0,1084,82480064,1317,62564,20334077.0,7756,23292,17446131,18302483,18020743
3344302,140,455,2415,23226739.0,1240,82148096,1447,67501,22194686.0,7758,23290,18690549,19728539,19370729
3757846,142,475,2415,25593563.0,1386,91080512,1450,68016,24570968.0,7915,23133,20664515,21786412,21364551
3757854,142,475,2415,27961027.0,1386,91110576,1451,68175,26940074.0,7915,23133,23032191,24155145,23733165
3757856,142,475,2415,29550032.0,1386,93465152,1452,68364,28550321.0,7915,23133,24641189,25765182,25343119
4065229,149,476,2415,30545927.0,1437,91896504,1499,73233,29550365.0,7992,23056,25318981,26562450,26091434
4669245,159,476,2415,31536647.0,1676,94289544,1544,82270,30550569.0,8086,22962,25764801,27134037,26603595
4894168,159,476,2415,33813439.0,1691,102524072,1567,86612,32841363.0,8088,22960,27846701,29253350,28718270
4976976,159,476,2415,35001629.0,1738,103818240,1568,86778,34038574.0,8089,22959,28953204,30367295,29826132
4976984,159,476,2415,36915738.0,1738,103857584,1569,86946,35957813.0,8089,22959,30870767,32286281,31744850
4976986,159,476,2415,40639108.0,1738,104118256,1570,87144,39690854.0,8089,22959,34602342,36019163,35477645
5026252,159,476,2415,41696229.0,1759,101761992,1669,88132,40748490.0,8089,22959,35581316,37038477,36488059
5242482,159,476,2415,45057676.0,1856,107291272,1691,91883,44118973.0,8089,22959,38741677,40243900,39679485
5242490,159,476,2415,46709165.0,1856,107302856,1692,92051,45775178.0,8089,22959,40372827,41876367,41311814
5242492,159,476,2415,49325173.0,1856,107425176,1693,92249,48392188.0,8089,22959,42988022,44493190,43928544
5659322,160,475,2415,50309404.0,2011,107085624,1741,101701,49392993.0,8091,22957,43523278,45187739,44566945
5774332,160,475,2415,51636922.0,2075,107033336,1843,105191,50725107.0,8091,22957,44656185,46424802,45787779
6171024,161,474,2415,53974716.0,2238,111340128,1960,117876,53063789.0,8091,22957,46387382,48456847,47779592
6267192,161,474,2415,55863517.0,2275,116364280,1967,118464,54965669.0,8091,22957,48210421,50292177,49610331
6267200,161,474,2415,58662744.0,2275,116422232,1968,118638,57769628.0,8091,22957,50985561,53069076,52386927
6267202,161,474,2415,60283834.0,2275,118740184,1969,118842,59403830.0,8091,22957,52618025,54703133,54020891
6960621,161,474,2415,61502237.0,2565,126170712,2025,128461,60639279.0,8093,22955,53207948,55424281,54694328
7566026,163,472,2415,62505738.0,2677,122578208,2049,135161,61647434.0,8093,22955,53607116,55994355,55230626
7961472,163,472,2415,63799811.0,2815,126541072,2158,138035,62958941.0,8093,22955,54510870,56998724,56195787
8503826,170,465,2415,67269893.0,3019,136335736,2161,138577,66438555.0,8095,22953,57544392,60084837,59237601
8503834,170,465,2415,70274574.0,3019,136338328,2162,138751,69453062.0,8095,22953,60534807,63076677,62229325
8503836,170,465,2415,73898857.0,3019,138646952,2163,138955,73079008.0,8095,22953,64159011,66702450,65855011
8935237,170,465,2415,75352989.0,3120,138619584,2273,140628,74537537.0,8095,22953,65143953,67859101,66943476
