Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,3716,2204432.0,0,50648104,0,0,4378.0,0,46015,0,0,0
146627,92,428,3716,3300934.0,27,56907552,108,5436,1117923.0,6751,39264,890957,313208,311785
170412,98,444,3716,5109417.0,43,54743304,330,10645,2932721.0,7127,38888,2597009,1927816,1915898
282318,118,473,3716,6103658.0,98,60869504,420,28126,3940041.0,7718,38297,3465879,2268093,2250986
305747,120,471,3716,7102459.0,103,60793816,502,43934,4940576.0,7737,38278,4421381,2927617,2906408
307052,120,471,3716,8105393.0,103,61305504,589,50024,5948425.0,7737,38278,5391264,3928555,3901974
308640,121,470,3716,10104830.0,106,63981488,600,51590,7970782.0,7738,38277,7406429,5915487,5888459
308648,121,470,3716,11741786.0,106,64070632,601,51791,9608811.0,7738,38277,9042913,7553208,7526081
463895,126,475,3716,12754002.0,151,65099376,695,66373,10638381.0,7838,38177,9934255,7631693,7598697
498888,127,474,3716,13796096.0,186,63390640,807,69305,11689361.0,7842,38173,10839654,8468311,8425368
606076,128,473,3716,14746175.0,248,67508624,895,86241,12698202.0,7842,38173,11728401,8500220,8449451
722915,130,481,3716,15777586.0,295,67212864,981,102856,13742209.0,7955,38060,12636501,8626494,8561512
782186,134,487,3716,16758712.0,320,64756728,1052,122381,14744325.0,8068,37947,13547162,8806196,8737532
852450,137,490,3716,19228932.0,364,70414992,1101,128886,17225425.0,8173,37842,15930383,10707157,10632167
852458,137,490,3716,20716741.0,364,70462840,1102,129087,18714551.0,8173,37842,17418156,12196024,12120930
852460,137,490,3716,22225216.0,364,70563192,1103,129526,20223946.0,8173,37842,18925877,13705247,13630038
873012,138,493,3716,24454626.0,365,71762312,1118,131923,22462725.0,8196,37819,21145832,15806118,15730556
874273,140,496,3716,25956479.0,365,71776696,1131,134811,23965644.0,8271,37744,22604510,17240730,17163705
874275,140,496,3716,27699970.0,365,71805224,1132,135044,25710129.0,8271,37744,24347621,18985053,18907943
970278,145,509,3716,28719916.0,369,69399136,1207,146183,26734627.0,8515,37500,25270797,19177170,19098437
970661,145,509,3716,30673872.0,369,71048584,1209,146583,28693642.0,8515,37500,27225920,21112759,21033904
970669,145,509,3716,32529988.0,369,71114944,1210,146786,30551059.0,8515,37500,29081657,22969851,22890782
970671,145,509,3716,34811334.0,369,72208784,1211,147675,32837869.0,8515,37500,31319558,25208911,25129750
1043673,145,511,3716,35789600.0,399,70605728,1288,164163,33841500.0,8518,37497,32206978,25267695,25184282
1109492,145,513,3716,38146420.0,459,73917696,1350,179912,36237569.0,8535,37480,34503929,27010589,26916928
1110696,146,514,3716,39766032.0,459,71909888,1351,180160,37858273.0,8544,37471,36120568,28628985,28535154
1111869,147,514,3716,41227322.0,460,75115624,1355,181342,39320794.0,8550,37465,37574258,30090239,29996080
1113081,149,514,3716,45697472.0,460,74336600,1361,183125,43797866.0,8565,37450,42044194,34525652,34431107
1173100,151,513,3716,50432690.0,465,77542432,1412,195648,48577485.0,8585,37430,46737162,38663261,38568192
1173104,151,513,3716,54161515.0,465,77692424,1413,196029,52308141.0,8586,37429,50464619,42393620,42298230
1173106,152,512,3716,59819728.0,465,79400008,1414,196448,57970273.0,8586,37429,56124084,48055570,47960061
1180319,152,512,3716,68175301.0,466,79485304,1428,199645,66334359.0,8586,37429,64442068,56322614,56226493
1180332,152,512,3716,71006498.0,466,79519880,1429,199867,69166542.0,8586,37429,67224199,59106505,59010273
1180345,152,512,3716,74132873.0,466,79530840,1430,200089,72294187.0,8586,37429,70324007,62207911,62111583
1209166,152,512,3716,75238543.0,487,77373448,1551,206398,73400248.0,8586,37429,71346069,63054784,62950200
1282794,152,512,3716,76226354.0,513,75465360,1621,229694,74405247.0,8586,37429,72236312,63246200,63139245
1310326,154,512,3716,83102763.0,522,78629840,1641,231503,81293591.0,8611,37404,79096173,69995785,69887641
1310339,154,512,3716,86070227.0,522,78687056,1642,231725,84262247.0,8611,37404,82036843,72938202,72829962
1310352,154,512,3716,88648285.0,522,78688864,1643,231947,86841366.0,8611,37404,84614088,75517132,75408813
1310365,154,512,3716,91883441.0,522,78709040,1644,232169,90077707.0,8611,37404,87848216,78753275,78644873
1322688,154,512,3716,92883375.0,523,78743184,1656,234225,91078048.0,8611,37404,88830386,79672622,79563872
