Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,3716,2190376.0,0,50621736,0,0,4641.0,0,46015,0,0,0
170158,98,444,3716,3559812.0,28,54331192,139,2565,1379000.0,7127,38888,1118227,1166915,1161074
231401,114,462,3716,4555953.0,80,56960464,251,7055,2379793.0,7544,38471,1977602,2114904,2100325
305927,120,471,3716,5560399.0,103,60375352,340,12418,3384601.0,7737,38278,2911421,3079423,3059594
307109,121,470,3716,6664029.0,105,57813968,421,18345,4488621.0,7738,38277,3978436,4177158,4151887
308640,121,470,3716,7888581.0,106,63198464,422,18544,5726090.0,7738,38277,5213522,5413578,5388248
308648,121,470,3716,9669954.0,106,63338920,423,18745,7516452.0,7738,38277,7002200,7203640,7178210
308650,121,470,3716,11303225.0,106,64473768,424,19632,9150378.0,7738,38277,8634511,8837402,8811893
498890,127,474,3716,12367528.0,186,63763344,530,21474,10223327.0,7842,38173,9531852,9786868,9744922
852560,137,490,3716,14789915.0,364,70811728,573,24013,12658900.0,8173,37842,11627727,11944701,11872102
852568,137,490,3716,16468600.0,364,70822712,574,24214,14338196.0,8173,37842,13305392,13623448,13550732
852570,137,490,3716,18774904.0,364,70892152,575,24653,16645289.0,8173,37842,15610117,15930078,15857228
853159,138,494,3716,21514863.0,365,71081072,579,25461,19386345.0,8209,37806,18345299,18670490,18597182
874422,140,497,3716,23990476.0,365,71178592,588,27561,21862886.0,8284,37731,20796702,21134788,21060028
874424,140,497,3716,25960115.0,365,71253312,589,27794,23845643.0,8284,37731,22751309,23090631,23015766
931642,141,496,3716,29491450.0,369,71787816,603,30200,27378450.0,8286,37729,26238148,26592962,26516173
931655,141,496,3716,32205241.0,369,71836344,604,30422,30093365.0,8286,37729,28951253,29307683,29230818
931668,141,496,3716,35069564.0,369,71838088,605,30644,32959431.0,8286,37729,31815604,32173571,32096615
978049,141,496,3716,37585922.0,367,71816360,607,30908,35485018.0,8286,37729,34223114,34583462,34506227
978057,141,496,3716,39326815.0,367,71845904,608,31111,37235224.0,8286,37729,35971708,36333284,36255946
978059,141,496,3716,41188695.0,367,71888096,609,32000,39097977.0,8286,37729,37833185,38195887,38118465
979320,141,496,3716,43114878.0,367,71897184,618,34118,41024864.0,8286,37729,39745463,40121160,40042193
979322,141,496,3716,44767278.0,367,71925600,619,34353,42677961.0,8286,37729,41396817,41774068,41695011
1287612,149,504,3716,46021667.0,573,76788568,644,36835,43937009.0,8378,37637,42378167,42805205,42697998
1290281,149,504,3716,49690914.0,573,73767344,658,41258,47612210.0,8378,37637,45992828,46442004,46333637
1328784,150,503,3716,53849301.0,576,76996976,666,43050,51772132.0,8384,37631,50115225,50575617,50465921
1328797,150,503,3716,57260349.0,576,77017392,667,43274,55184492.0,8384,37631,53525618,53987785,53878010
1328810,150,503,3716,60560201.0,576,77083824,668,43498,58489909.0,8384,37631,56801941,57265825,57155951
1515803,154,517,3716,64104248.0,631,78481640,712,54210,62035337.0,8645,37370,60114274,60688584,60564991
1515816,154,517,3716,66822582.0,631,78511032,713,54434,64754611.0,8645,37370,62831767,63407672,63283993
1515829,154,517,3716,69570803.0,631,78531160,714,54658,67503818.0,8645,37370,65535398,66113120,65989342
1515842,154,517,3716,72437101.0,631,78569656,715,54882,70371278.0,8645,37370,68370453,68950095,68826061
1687679,173,514,3716,73466458.0,654,76762224,738,58709,71400908.0,8879,37136,69236562,69874533,69745042
1688289,173,514,3716,76897687.0,654,79291864,741,59438,74833334.0,8879,37136,72661297,73305136,73175331
1688302,173,514,3716,80093204.0,654,79339864,742,59666,78030006.0,8879,37136,75855529,76501605,76371591
1688315,173,514,3716,82705751.0,654,79341720,743,59894,80656119.0,8879,37136,78448173,79096232,78966117
1688328,173,514,3716,85877306.0,654,79352728,744,60122,83828789.0,8879,37136,81618496,82268605,82138399
1754623,173,514,3716,87055011.0,717,78679424,850,63644,85006886.0,8879,37136,82683914,83386232,83242965
1795573,176,511,3716,89451854.0,724,81078368,861,65273,87404579.0,8891,37124,85043480,85761785,85617056
1795581,176,511,3716,91138886.0,724,81099360,862,65503,89092184.0,8891,37124,86728329,87449104,87303991
1795583,176,511,3716,93443300.0,724,81112880,863,65763,91397475.0,8891,37124,89000749,89723803,89578420
1796172,176,511,3716,95639916.0,725,81270936,867,66687,93595338.0,8891,37124,91188174,91921025,91774971
1797376,176,513,3716,97638628.0,725,78458600,872,67926,95594780.0,8900,37115,93170937,93918358,93771514
1798549,176,513,3716,100187096.0,726,81562912,877,69565,98144455.0,8900,37115,95652762,96418358,96270767
1820745,176,519,3716,102226221.0,729,81746080,882,69827,100184325.0,8966,37049,97677872,98446652,98298674
1822061,176,521,3716,103683772.0,729,78751488,883,70077,101642490.0,8984,37031,99106440,99876927,99728771
1823234,176,521,3716,105701946.0,730,81825560,887,71267,103661399.0,8984,37031,101116602,101894406,101745902
1824446,178,521,3716,110865054.0,730,80749000,889,71906,108826707.0,8999,37016,106276290,107058230,106909481
1824460,178,522,3716,118253676.0,731,80852600,890,72204,116217883.0,9005,37010,113664631,114449019,114300177
1834463,178,522,3716,120123523.0,734,80937696,891,72458,118096921.0,9005,37010,115500352,116286945,116137823
1835100,178,522,3716,122654324.0,735,84029728,895,73664,120632783.0,9005,37010,118026452,118822004,118672376
1836312,178,522,3716,128772308.0,735,80956464,897,74245,126752995.0,9005,37010,124140714,124940760,124790870
1836326,178,522,3716,134693415.0,736,81022960,898,74549,132680430.0,9005,37010,129973730,130776380,130626364
1836340,178,522,3716,140709243.0,737,81034864,899,74876,138702740.0,9005,37010,135992884,136798350,136648232
1899165,178,522,3716,142344150.0,739,81255144,900,75124,140338198.0,9005,37010,137565375,138373127,138222562
1900338,178,522,3716,144407308.0,740,84329552,904,76306,142402112.0,9005,37010,139620827,140435769,140284869
1901550,178,522,3716,149015953.0,740,81345264,906,76875,147012779.0,9005,37010,144225834,145044886,144893746
1901564,178,522,3716,155995414.0,741,81356656,907,77171,153994725.0,9005,37010,151204934,152026417,151875186
1901578,178,522,3716,163624609.0,742,81395584,908,77492,161631594.0,9005,37010,158803595,159628141,159476774
1987590,179,522,3716,170437937.0,772,85211256,1008,79399,168447373.0,9018,36997,165467646,166338096,166178315
1987594,179,522,3716,180509431.0,772,86711712,1009,79811,178522390.0,9019,36996,175512235,176385964,176225972
1987596,180,521,3716,189410881.0,772,87003680,1010,80261,187427002.0,9019,36996,184386011,185263064,185102907
