Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,1408,1458456.0,0,33896944,0,0,4432.0,0,20562,0,0,0
71082,68,283,1408,3621681.0,15,36415160,134,2590,2264744.0,4926,15636,2017763,1785204,1780977
128469,85,299,1408,4618458.0,53,40049192,197,6711,3277728.0,5457,15105,2960244,2235976,2230475
188657,100,326,1408,5635979.0,78,37603720,254,8841,4319015.0,5940,14622,3922806,2527380,2520683
271029,108,328,1408,6507924.0,141,41203216,300,9984,5323961.0,6032,14530,4830916,3019256,3009690
353642,110,334,1408,7395535.0,245,42401320,349,12362,6332255.0,6114,14448,5707537,3076745,3062499
425684,111,337,1408,8343329.0,251,42458976,405,16881,7337153.0,6162,14400,6616520,3172542,3157517
504779,111,337,1408,9331696.0,250,42428936,462,19790,8352675.0,6164,14398,7535620,3261771,3246093
566326,111,337,1408,11546927.0,322,40786368,611,24278,10689297.0,6170,14392,9740152,5056908,5035104
678625,116,343,1408,12525700.0,376,44386032,669,28536,11698019.0,6235,14327,10607167,5243674,5220337
739430,116,343,1408,14369668.0,392,42043104,799,33313,13699698.0,6235,14327,12464573,6676550,6646865
838413,119,342,1408,16321390.0,509,43890216,930,37917,15687605.0,6245,14317,14277402,8180712,8139106
911746,121,354,1408,17282332.0,571,48995472,977,53208,16692197.0,6382,14180,15109778,8405556,8350733
972958,121,354,1408,18246864.0,572,49057232,1031,68254,17703746.0,6382,14180,16032613,8425425,8369459
1031856,121,354,1408,19219703.0,592,49083816,1080,73262,18707756.0,6384,14178,16915483,8550596,8491532
1077341,123,352,1408,20205394.0,609,50042440,1127,90296,19723022.0,6384,14178,17798854,8797216,8734096
1100227,123,352,1408,21193289.0,613,47051288,1184,103797,20725699.0,6384,14178,18721409,9276567,9210087
1101480,124,351,1408,23280899.0,615,47531096,1288,116577,22866269.0,6384,14178,20526801,11373945,11299809
1111012,124,351,1408,25457077.0,630,48078344,1402,130102,25079266.0,6384,14178,22431720,13448827,13366228
1111139,124,351,1408,27691648.0,645,48614392,1504,161615,27374479.0,6384,14178,24302620,15731761,15638460
1213242,125,352,1408,28673586.0,709,52220728,1558,167807,28387076.0,6426,14136,25194157,15864580,15768555
1264655,125,352,1408,30440888.0,770,50385264,1683,170043,30197927.0,6426,14136,26890004,17417718,17312686
1330968,125,352,1408,31406411.0,845,54056968,1731,182676,31214693.0,6428,14134,27753156,17657828,17548463
1386989,126,351,1408,32380534.0,847,54059136,1781,186608,32219691.0,6444,14118,28647741,17720891,17610993
1468779,133,363,1408,33354830.0,870,54353280,1835,192528,33230778.0,6692,13870,29550439,17722149,17611248
1552164,133,363,1408,34317918.0,929,52215616,1883,197496,34232223.0,6692,13870,30440280,17807588,17693472
1592656,133,363,1408,35250904.0,952,55428048,1936,202849,35237642.0,6692,13870,31345662,17912023,17796943
1667352,133,363,1408,36164855.0,983,56062960,1991,208357,36241285.0,6692,13870,32243589,17915324,17797159
1712248,133,363,1408,37075608.0,1016,56770568,2038,217202,37248863.0,6692,13870,33158910,17936471,17815138
1767432,136,369,1408,38023180.0,1017,56832648,2089,227633,38253885.0,6756,13806,34080222,17938882,17816069
1819395,136,370,1408,38964100.0,1042,57157872,2140,235419,39265002.0,6762,13800,35005299,18118370,17993646
1877787,136,370,1408,39943161.0,1092,57844312,2190,243732,40277868.0,6762,13800,35920067,18123546,17995233
1946692,136,370,1408,40888658.0,1097,58097032,2243,250336,41294250.0,6762,13800,36827237,18214139,18084958
2007453,137,371,1408,43130003.0,1123,55692992,2393,254895,43622923.0,6780,13782,38982894,19754806,19621370
2072221,138,370,1408,44103962.0,1160,59162272,2450,261163,44625232.0,6780,13782,39887616,19866221,19730440
2106144,139,369,1408,45811963.0,1158,59342000,2558,267917,46390319.0,6780,13782,41526320,21211726,21071965
2159949,139,369,1408,47872827.0,1208,57119600,2694,275760,48458109.0,6780,13782,43451155,22626365,22477502
2213213,139,369,1408,48881544.0,1262,60487280,2743,285313,49469547.0,6780,13782,44374088,22665563,22514058
2272064,139,369,1408,49882312.0,1311,61543248,2792,296730,50472964.0,6780,13782,45247836,22675058,22514440
2364436,141,367,1408,50888248.0,1372,62668488,2840,301541,51480993.0,6782,13780,46125009,22681103,22514680
2446996,141,367,1408,51878533.0,1411,63135432,2884,305551,52503535.0,6782,13780,47007687,22832279,22660161
2517146,141,367,1408,52841476.0,1430,63615072,2937,312646,53509445.0,6782,13780,47923100,22900376,22726363
2545374,141,367,1408,54845988.0,1429,60955792,3052,315542,55530720.0,6782,13780,49840819,24557567,24377316
2594119,141,367,1408,55859920.0,1480,64732576,3103,329411,56545443.0,6782,13780,50764029,24645965,24462175
2648022,141,367,1408,56853948.0,1499,65361496,3159,334337,57548900.0,6782,13780,51677266,24666624,24480136
2725242,141,367,1408,57823351.0,1534,65595472,3211,339747,58549010.0,6782,13780,52578997,24741259,24553216
2763608,141,367,1408,59159542.0,1549,66092944,3272,348992,59914791.0,6782,13780,53800503,25446297,25251106
2791729,141,367,1408,60168084.0,1547,65928496,3327,358007,60929084.0,6782,13780,54749163,25513222,25317685
2827564,141,367,1408,61148981.0,1561,65949280,3373,363541,61929086.0,6782,13780,55637172,25514326,25317844
2892409,141,367,1408,62151879.0,1585,66218296,3425,366182,62938718.0,6782,13780,56534960,25609051,25411671
2949096,141,367,1408,63056980.0,1618,66702024,3471,374909,63947908.0,6782,13780,57450442,25641938,25441972
2979650,141,367,1408,63725143.0,1615,66657624,3510,376693,64956981.0,6782,13780,58365818,25641998,25441972
3044057,141,367,1408,64440804.0,1634,66928936,3555,383443,65980538.0,6782,13780,59262400,25676693,25474896
3060461,141,367,1408,65117982.0,1649,67230176,3606,395483,67008313.0,6782,13780,60186532,26351855,26141307
3147190,141,367,1408,65774986.0,1652,67467656,3648,400093,68008275.0,6782,13780,61015424,26450376,26238749
3184609,141,367,1408,66371984.0,1667,67729688,3698,406619,69023007.0,6782,13780,61929076,26507926,26294482
3301090,141,367,1408,66992385.0,1680,68074288,3745,413424,70032662.0,6782,13780,62744029,26541405,26326361
3368007,141,367,1408,67694127.0,1756,69259448,3794,419574,71053300.0,6782,13780,63597967,27201541,26976203
3460749,141,367,1408,68315498.0,1781,69675392,3848,422746,72069808.0,6782,13780,64468695,27202744,26976297
3525915,141,367,1408,68871304.0,1802,70142768,3897,430443,73076349.0,6782,13780,65313952,27335872,27107119
3560168,146,363,1408,70576299.0,1802,67724584,4040,445044,75929265.0,6795,13767,67766323,29442530,29202602
3611633,146,363,1408,71224760.0,1889,72023752,4082,454263,76932355.0,6795,13767,68599017,29479654,29230283
3678517,146,363,1408,71804665.0,1905,72310280,4130,468710,77943877.0,6795,13767,69464624,29485330,29232655
3720271,146,363,1408,72437972.0,1904,72261792,4182,471510,78979011.0,6795,13767,70389148,29485667,29232697
3770393,146,363,1408,73056239.0,1906,72344656,4228,474398,79998537.0,6795,13767,71299692,29518963,29265617
3803495,146,363,1408,73936743.0,1921,72573664,4277,477375,81000528.0,6795,13767,72214987,29520228,29265670
3838821,146,363,1408,74844102.0,1948,73066792,4321,485665,82004269.0,6795,13767,73130166,29524134,29265888
3901313,146,363,1408,75820815.0,1981,73583216,4373,493371,83011000.0,6795,13767,74035313,29687053,29425098
3976488,146,363,1408,76737199.0,1985,73743640,4427,497439,84017315.0,6795,13767,74913684,29706968,29443874
3993402,152,357,1408,77619560.0,1983,71175768,4470,505472,85017305.0,6795,13767,75825219,29823692,29557104
4033806,152,357,1408,78565503.0,1987,74259896,4522,514784,86023632.0,6795,13767,76713481,29949398,29681694
4124889,153,356,1408,79503297.0,2034,75097944,4575,518518,87029007.0,6795,13767,77601256,29987603,29717403
4129437,153,356,1408,80889020.0,2034,75215176,4671,526833,88478244.0,6795,13767,78951315,31267320,30992747
4168350,153,356,1408,81745275.0,2036,75218320,4713,533490,89492071.0,6795,13767,79891268,31267870,30992849
4235812,153,356,1408,82672627.0,2106,76506360,4754,542621,90503235.0,6795,13767,80769662,31297280,31015064
4268409,153,356,1408,84684762.0,2107,76608240,4886,549538,92654119.0,6795,13767,82740408,32709679,32423297
4310972,153,356,1408,85624734.0,2122,76829368,4940,554014,93654153.0,6795,13767,83604652,32715099,32423421
4372621,153,356,1408,86624793.0,2176,77290568,4986,562197,94669283.0,6795,13767,84494231,32767467,32472120
4443796,153,356,1408,87637971.0,2188,77608328,5042,566688,95683643.0,6795,13767,85418576,32768470,32472191
4509273,153,356,1408,88637219.0,2206,77682496,5091,568928,96683641.0,6795,13767,86334721,32769381,32472308
4554327,153,356,1408,89638981.0,2208,77766864,5139,571604,97687441.0,6795,13767,87267604,32808232,32510666
4636458,154,357,1408,90642426.0,2208,77851088,5192,574951,98694104.0,6804,13758,88178582,32830572,32532318
4662627,156,357,1408,91644720.0,2223,78240352,5235,587657,99697277.0,6850,13712,89045980,33068670,32764309
4725018,156,357,1408,92651949.0,2229,78387440,5288,594318,100705932.0,6852,13710,89966118,33085956,32780965
4792904,156,357,1408,93656228.0,2228,78434152,5344,597324,101720427.0,6852,13710,90895367,33086338,32780989
4840448,156,357,1408,94663812.0,2257,79062976,5393,605254,102731212.0,6852,13710,91819575,33089183,32781258
4903387,156,357,1408,95664827.0,2259,79135088,5451,607816,103734170.0,6852,13710,92734107,33089474,32781285
4949576,156,357,1408,96662269.0,2272,79415880,5506,612723,104743140.0,6852,13710,93639061,33111044,32800808
5013857,157,356,1408,97624423.0,2289,79532944,5557,616026,105762103.0,6854,13708,94562735,33128984,32817804
5042520,157,356,1408,98553945.0,2335,80689832,5600,632638,106766886.0,6854,13708,95424137,33326845,33005535
5133618,157,356,1408,99494868.0,2356,80836368,5651,639649,107771006.0,6854,13708,96316960,33427918,33105270
5198012,157,356,1408,100442705.0,2364,81041328,5704,643368,108780650.0,6854,13708,97216787,33971328,33645579
5259413,159,355,1408,101358388.0,2387,81039512,5759,646462,109787850.0,6861,13701,98133324,34126889,33798479
5312630,159,355,1408,102335413.0,2423,81878496,5806,656665,110796957.0,6861,13701,99039403,34251238,33918227
5329881,159,355,1408,104658352.0,2440,79360360,5927,666057,113127271.0,6861,13701,101028477,36238448,35896075
5384786,159,355,1408,105668418.0,2479,82884264,5975,673587,114142985.0,6861,13701,101950070,36328423,35984110
5407471,159,355,1408,106555620.0,2494,83252112,6005,677651,115143555.0,6861,13701,102838152,36333583,35984160
5445814,159,355,1408,107512770.0,2495,83258168,6040,685884,116144058.0,6861,13701,103756441,36337965,35985847
5503759,159,355,1408,108465026.0,2533,83598704,6084,687710,117162325.0,6861,13701,104679384,36418574,36064346
5538856,159,355,1408,109417479.0,2546,83852904,6131,693577,118170526.0,6861,13701,105604486,36420838,36064927
5583686,159,355,1408,110396761.0,2568,84276648,6171,695829,119195204.0,6861,13701,106552832,36422373,36065081
5615652,159,355,1408,111391081.0,2569,84400736,6214,703054,120204768.0,6861,13701,107501141,36490941,36132530
5667845,159,355,1408,112388984.0,2616,85348584,6260,711310,121214097.0,6861,13701,108410745,36497995,36132865
5705970,159,355,1408,113379096.0,2634,85636176,6306,718297,122219840.0,6861,13701,109348969,36534602,36168211
5797846,159,355,1408,114380080.0,2658,87018024,6350,728398,123233134.0,6861,13701,110241212,36657202,36287607
