Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,1408,1526183.0,0,33877696,0,0,4445.0,0,20562,0,0,0
71082,68,283,1408,3400436.0,15,36382760,114,1894,1904541.0,4926,15636,1648274,1707149,1703262
189996,100,326,1408,4399590.0,87,37653304,173,2760,2916503.0,5940,14622,2543260,2619709,2613052
545021,111,337,1408,5374967.0,279,40017992,215,3578,3926008.0,6170,14392,3222374,3326280,3309340
566326,111,337,1408,7161329.0,322,40769088,321,5060,5774575.0,6170,14392,4988635,5150062,5128104
739430,116,343,1408,9079364.0,392,42023312,435,7238,7939037.0,6235,14327,6895250,7127275,7098131
838413,119,342,1408,10511294.0,509,43871656,541,9644,9813178.0,6245,14317,8585165,8883690,8842089
1099953,123,352,1408,11450029.0,613,49999296,569,16487,10822952.0,6384,14178,9182971,9656177,9591761
1101480,124,351,1408,13934874.0,615,47521640,692,31062,13507460.0,6384,14178,11495445,12293674,12220513
1111012,124,351,1408,15976933.0,630,48069048,799,42053,15649112.0,6384,14178,13322748,14420051,14338070
1111139,124,351,1408,18628859.0,645,48605144,901,73566,18452289.0,6384,14178,15643535,17212325,17118953
1264655,125,352,1408,20605505.0,770,50371024,1019,75758,20497883.0,6426,14136,17458962,19105360,18991377
1381214,125,352,1408,22497096.0,856,52136488,1128,84099,22478804.0,6428,14134,18981376,20915835,20785981
1739029,136,360,1408,24539872.0,1018,54572904,1251,86809,24649897.0,6699,13863,20710840,22730854,22586975
1764995,136,360,1408,25929836.0,1035,55001232,1356,89191,26087249.0,6699,13863,22068871,24143910,23995943
2405834,139,360,1408,26882613.0,1286,58155448,1383,91137,27100319.0,6710,13852,22508358,24621779,24457754
2712093,148,353,1408,28603058.0,1393,63051544,1477,97690,28921942.0,6738,13824,23939218,26164470,25987603
2808648,148,353,1408,31600058.0,1423,61072216,1618,113254,32163722.0,6738,13824,26673720,29320524,29127941
3073981,149,352,1408,32561605.0,1540,66265152,1652,115854,33171313.0,6738,13824,27287817,30002200,29794311
3368035,149,352,1408,34670591.0,1691,69341960,1754,122345,35428870.0,6738,13824,29034218,31893868,31655995
3474579,149,352,1408,37354255.0,1760,68793008,1862,140022,38449050.0,6738,13824,31458195,34786676,34531730
3939389,150,351,1408,37983559.0,1889,73380888,1883,143270,39449054.0,6738,13824,31902447,35321846,35053506
4457766,150,351,1408,38591136.0,2037,72717328,1901,143963,40455532.0,6738,13824,32264616,35722226,35431324
4581457,150,351,1408,39625529.0,2104,77089640,1989,149799,42165311.0,6738,13824,33728536,37305514,37002312
4675007,150,351,1408,40148490.0,2145,74411888,2035,153870,43165772.0,6738,13824,34523407,38194812,37885332
4676314,150,351,1408,42012654.0,2148,74963216,2142,171430,46231448.0,6738,13824,37002419,41251431,40929906
4725176,150,351,1408,42968869.0,2171,75191456,2181,176295,47233247.0,6738,13824,37808030,42165746,41838284
