Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,2429,1155388.0,0,41740520,0,0,9038.0,0,31118,0,0,0
58900,65,241,2429,2031302.0,17,47319032,52,2980,1236309.0,4642,26476,908076,351357,350492
91592,87,312,2429,3022185.0,38,44754800,109,7792,2269010.0,5734,25384,1845371,763124,759426
120024,92,319,2429,4674797.0,45,45217304,214,8827,3937631.0,5884,25234,3442433,2398377,2386322
140123,96,338,2429,5678825.0,64,48776720,249,16646,4947801.0,6190,24928,4377489,2584064,2570744
140648,96,338,2429,6659437.0,64,48902520,284,19096,5950309.0,6190,24928,5355737,3581340,3563944
141203,96,338,2429,7619902.0,64,49123024,321,21686,6950414.0,6190,24928,6328503,4575347,4553219
141863,96,338,2429,8608486.0,64,49408112,365,24766,7951321.0,6190,24928,7305350,5571411,5545339
171398,102,368,2429,9604592.0,90,49968192,409,28494,8951471.0,6509,24609,8248350,6250925,6221325
234977,114,379,2429,11058641.0,147,47813360,481,34499,10415777.0,6753,24365,9608893,7136804,7097655
296730,116,381,2429,13256196.0,174,48526704,609,39597,12653314.0,6812,24306,11622323,8642209,8585531
376388,118,379,2429,14203143.0,220,52155952,643,50258,13654651.0,6816,24302,12491546,8787318,8726636
441926,122,380,2429,15196841.0,225,52314704,684,56622,14656078.0,6949,24169,13401101,8790377,8726736
494699,123,380,2429,16205761.0,245,52655152,723,65525,15672981.0,6954,24164,14331514,8812617,8745187
555970,124,381,2429,17215715.0,269,53190640,765,74568,16692868.0,6972,24146,15232267,8918700,8833745
584302,125,392,2429,18199740.0,272,54522192,800,83937,17717939.0,7093,24025,16122650,9161674,9074939
598126,125,392,2429,20199702.0,275,52078376,912,92063,19763960.0,7093,24025,18063090,10890415,10796117
649200,127,390,2429,24290321.0,299,57343304,946,97400,24050249.0,7101,24017,22257094,14529769,14422691
649208,127,390,2429,27265974.0,299,57442768,947,97559,27091173.0,7101,24017,25259483,17533221,17425998
674324,127,390,2429,29559517.0,303,54949224,1070,102947,29391080.0,7101,24017,27441511,19290769,19175827
712551,127,390,2429,30579803.0,323,58165784,1106,118960,30412760.0,7101,24017,28367042,19352741,19224603
743250,127,391,2429,31565952.0,325,58185064,1132,125912,31414293.0,7103,24015,29161154,19353649,19224641
768532,128,392,2429,32533633.0,342,58501808,1177,130372,32422562.0,7123,23995,30083617,19677927,19543430
809611,130,401,2429,34093546.0,350,58911464,1242,142088,34062887.0,7187,23931,31573203,20660801,20505365
865616,132,400,2429,35043555.0,352,57084104,1281,151086,35062897.0,7202,23916,32446478,20738025,20581469
921963,136,400,2429,38390746.0,382,59608608,1300,153869,38819268.0,7243,23875,36136423,24143559,23984594
921970,136,400,2429,41799911.0,382,59688432,1301,154069,42357436.0,7246,23872,39671765,27681136,27521980
938859,138,398,2429,42388815.0,384,59717960,1326,158397,43366679.0,7248,23870,40612201,27684301,27522446
959410,138,398,2429,43104970.0,401,58210272,1352,164673,44389547.0,7248,23870,41538129,28048122,27877747
959815,138,398,2429,43949161.0,401,58569400,1379,166563,45411761.0,7248,23870,42495155,29018943,28845265
960295,138,398,2429,44798318.0,401,58595320,1411,168803,46450265.0,7248,23870,43512222,30051834,29874591
960865,138,398,2429,45719065.0,401,58746504,1449,171463,47454577.0,7248,23870,44493528,31051534,30870696
961330,138,398,2429,46644587.0,401,58812064,1480,173633,48454627.0,7248,23870,45468866,32047708,31863149
1038922,139,400,2429,47570429.0,444,59444416,1524,179488,49467049.0,7290,23828,46385287,32450659,32258841
1060801,139,400,2429,53951609.0,452,65563488,1541,184393,57069205.0,7290,23828,53923799,39698490,39493650
1072045,139,400,2429,56005990.0,470,63413744,1639,185765,59556065.0,7290,23828,56229256,42085055,41864261
1097590,139,400,2429,56802227.0,484,66392808,1667,194048,60574590.0,7290,23828,57176131,42144011,41922652
1117401,139,400,2429,57693843.0,483,66413648,1694,201411,61590376.0,7292,23826,57978759,42173769,41952025
1159727,139,400,2429,58667451.0,491,62298648,1723,210833,62628500.0,7292,23826,58844359,42493891,42265423
1239395,139,400,2429,59549992.0,519,62934592,1754,218604,63628498.0,7292,23826,59712059,42532994,42300904
1260984,139,400,2429,60476733.0,537,63394160,1786,227955,64661881.0,7292,23826,60661274,42644608,42407263
1291335,139,400,2429,61116749.0,575,64494360,1829,237127,66297660.0,7292,23826,62093633,43749318,43490829
1319170,139,400,2429,61596766.0,579,64478136,1859,245011,67317986.0,7292,23826,63008855,43868731,43607603
1343942,139,400,2429,63749583.0,580,61867328,1975,248743,70837877.0,7292,23826,66269119,46622776,46342180
1373009,139,400,2429,64681658.0,601,65033576,2016,264006,71874522.0,7292,23826,67243545,46724590,46442948
1425021,139,400,2429,65501823.0,618,65256928,2052,270066,72882744.0,7294,23824,68149169,46726361,46443032
1444624,140,408,2429,66370181.0,620,65287592,2094,276541,73885177.0,7402,23716,69087636,46754662,46467493
1513503,140,408,2429,67291345.0,644,65673944,2129,282045,74900951.0,7406,23712,69987698,46756597,46467609
1568098,149,400,2429,68268672.0,651,65879712,2171,289411,75908572.0,7419,23699,70901024,46760480,46467708
1638067,149,400,2429,69278404.0,677,66628544,2217,302163,76923319.0,7422,23696,71789959,46872763,46561176
1675194,149,400,2429,70280382.0,678,66701616,2273,310416,77931864.0,7422,23696,72730804,46934774,46622853
1746237,149,400,2429,71251758.0,688,67026592,2330,319562,78935230.0,7422,23696,73597316,47001186,46688061
1824515,150,400,2429,72175243.0,701,67426600,2394,329738,79946094.0,7424,23694,74513432,47033365,46717969
1827811,150,400,2429,74030172.0,701,64668880,2501,331730,82091043.0,7424,23694,76546959,49047821,48711169
1847891,150,400,2429,74873157.0,734,65036024,2532,351623,83097914.0,7424,23694,77471350,49134295,48794198
1916456,150,400,2429,75835366.0,783,68923392,2571,363269,84111137.0,7424,23694,78357769,49196122,48848615
1974004,150,400,2429,76772941.0,833,70351848,2617,378424,85128691.0,7424,23694,79240811,49208624,48848937
2014446,150,400,2429,77614845.0,849,70837464,2654,389816,86136175.0,7424,23694,80160128,49211190,48849084
2023596,150,400,2429,82973720.0,848,73088872,2675,394773,92651678.0,7424,23694,86635918,55211222,54848300
2023603,150,400,2429,87300345.0,848,73132824,2676,394979,99594425.0,7424,23694,93336563,61914425,61551237
2033784,151,402,2429,90763090.0,850,73288672,2692,406610,104855241.0,7441,23677,98532645,66697270,66332922
2033792,151,402,2429,94882018.0,850,73346400,2693,406820,111133692.0,7441,23677,104773564,72940199,72575686
2033794,151,402,2429,102566241.0,850,76556608,2694,409156,119295751.0,7441,23677,112933016,81101874,80737200
2047016,151,402,2429,103699757.0,865,77068200,2746,422865,120585324.0,7441,23677,114048916,81865324,81490902
2080252,152,401,2429,106560613.0,883,72958008,2889,443122,123613491.0,7441,23677,116882818,83999974,83606394
2111623,152,401,2429,107385190.0,887,72969072,2930,448975,124618505.0,7443,23675,117743234,84081758,83687740
2207108,152,401,2429,108254033.0,910,73355944,2972,455775,125637166.0,7443,23675,118638325,84085575,83687916
2242915,152,402,2429,109176848.0,924,73820640,3015,463298,126643515.0,7449,23669,119573296,84120714,83719697
2261047,152,402,2429,109943748.0,923,73759024,3048,470348,127651838.0,7449,23669,120519967,84163390,83762099
2311645,152,402,2429,110824020.0,928,73965104,3084,478507,128655899.0,7449,23669,121448860,84264346,83861949
2347908,152,402,2429,111714140.0,934,74199184,3116,489969,129667171.0,7449,23669,122354497,84280221,83862229
2352836,152,402,2429,112523779.0,934,74146320,3131,494662,130689975.0,7449,23669,123229094,84320016,83894115
2378805,152,402,2429,113141729.0,936,74327864,3160,501800,131694481.0,7449,23669,124167847,84320433,83894115
2382509,152,402,2429,114483634.0,936,71476896,3270,511238,133784604.0,7449,23669,126167446,86119032,85684641
2431170,152,402,2429,115058568.0,984,75113720,3310,526256,134794864.0,7449,23669,127049194,86149032,85708920
2477288,153,401,2429,115875772.0,986,75132208,3360,540581,135798446.0,7449,23669,127945699,86183053,85725799
2504379,153,401,2429,116799768.0,988,75176568,3406,547499,136801752.0,7449,23669,128867359,86245139,85787329
2535228,153,401,2429,117701495.0,1007,75794184,3447,557841,137802632.0,7449,23669,129779424,86248367,85787504
2581837,153,401,2429,118671829.0,1030,76366776,3496,577483,138821675.0,7449,23669,130709115,86252687,85787587
2635554,153,401,2429,119671551.0,1035,76617632,3544,593623,139821712.0,7449,23669,131602963,86285736,85808157
2637383,153,401,2429,123893386.0,1036,78716520,3545,593780,144192435.0,7449,23669,135930443,90620981,90137654
2637391,153,401,2429,128783285.0,1036,78774008,3546,593939,149181420.0,7449,23669,140917914,95609527,95126071
2637393,153,401,2429,136547683.0,1036,81165624,3547,594128,157976782.0,7449,23669,149712020,104404653,103921081
2656503,153,401,2429,138219409.0,1052,79025464,3658,597694,159792987.0,7449,23669,151314743,105801919,105306140
2721065,153,401,2429,139146635.0,1089,82560728,3714,613058,160803883.0,7449,23669,152218634,105836593,105331932
2756966,153,401,2429,139981376.0,1108,83169976,3757,623638,161817592.0,7449,23669,153117254,105839265,105331992
2815193,153,401,2429,140891813.0,1148,84101016,3799,637836,162843938.0,7449,23669,154003269,105858527,105333381
2821679,153,402,2429,145931531.0,1147,84144352,3819,645647,168268552.0,7454,23664,159396459,110887748,110362470
2875149,153,403,2429,146949736.0,1192,85378960,3865,662975,169288879.0,7463,23655,160249442,110907956,110362890
2908575,153,403,2429,147935864.0,1210,85654168,3913,684584,170295720.0,7463,23655,161166460,110914465,110365200
2944669,153,403,2429,148945689.0,1213,85635856,3964,700212,171307126.0,7463,23655,162090438,110979595,110429620
2967887,153,403,2429,153244785.0,1222,86550784,3982,705097,175951814.0,7463,23655,166678468,115280974,114719494
3012530,153,403,2429,154156955.0,1241,86987696,4026,715061,176956835.0,7463,23655,167589301,115284576,114719700
3070323,153,403,2429,155046575.0,1247,87219992,4066,724475,177962484.0,7463,23655,168480331,115382206,114815985
3130199,153,403,2429,155954249.0,1253,87468672,4108,731219,178964340.0,7463,23655,169395478,115382892,114816023
3168078,153,403,2429,156890806.0,1254,87507736,4149,738063,179984104.0,7463,23655,170287207,115383262,114816046
3212398,154,402,2429,157749958.0,1260,87705032,4189,744955,180991746.0,7468,23650,171194156,115398032,114817521
3233599,154,402,2429,158654374.0,1276,87993880,4229,753605,181993146.0,7468,23650,172122214,115534113,114949169
3268459,154,402,2429,159521647.0,1280,88139032,4271,763135,183021371.0,7468,23650,173058313,115535039,114949368
3295428,154,402,2429,160472867.0,1309,89031888,4315,775437,184030150.0,7468,23650,173958889,115548807,114949530
3317676,154,402,2429,161368242.0,1326,89281176,4349,789481,185044291.0,7468,23650,174890315,115555806,114949933
3377427,154,402,2429,162290931.0,1372,90486928,4389,799212,186044981.0,7468,23650,175798384,115642836,115030331
3410000,154,402,2429,163186573.0,1375,90584656,4427,808420,187065889.0,7468,23650,176737829,115643442,115030432
3451986,154,402,2429,164161691.0,1380,90712496,4469,820822,188065890.0,7468,23650,177630327,115670636,115032017
3488658,154,402,2429,165175009.0,1379,90671856,4512,829613,189080128.0,7468,23650,178477713,115676383,115032337
3492337,154,402,2429,171688130.0,1381,90921504,4516,830252,195602918.0,7468,23650,184922616,122064392,121411428
3526989,154,402,2429,172701692.0,1384,90955856,4551,839030,196616392.0,7468,23650,185873535,122065210,121411546
3574963,154,402,2429,173709258.0,1385,91006360,4595,849456,197624034.0,7468,23650,186806562,122066308,121411636
3632454,154,402,2429,174716941.0,1392,91185336,4643,857250,198631645.0,7468,23650,187731759,122091880,121436305
3673593,154,402,2429,175723813.0,1399,91364784,4698,866037,199641158.0,7468,23650,188660506,122150668,121492382
3697424,154,402,2429,181920448.0,1430,92120696,4738,882258,205840093.0,7468,23650,194742159,127547482,126882214
3708290,154,402,2429,185811463.0,1430,92086328,4746,884195,209731117.0,7468,23650,198614729,131294449,130628635
3708298,154,402,2429,188931808.0,1430,92088760,4747,884399,212851386.0,7468,23650,201707766,134389108,133723154
3708300,154,402,2429,192924450.0,1430,92268488,4748,884633,216844087.0,7468,23650,205698151,138381336,137715238
