Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,2429,2375369.0,0,41721048,0,0,10641.0,0,31118,0,0,0
120024,92,319,2429,4886419.0,45,45158408,151,1507,2769789.0,5884,25234,2439627,2493749,2482036
140603,96,338,2429,5873600.0,64,48849536,190,4370,3785081.0,6190,24928,3392222,3468261,3452327
141008,96,338,2429,6869342.0,64,49037096,217,6260,4797302.0,6190,24928,4381594,4474238,4455063
141473,96,338,2429,7835792.0,64,49234864,248,8430,5825539.0,6190,24928,5383051,5497721,5475359
142028,96,338,2429,8798514.0,64,49410056,285,11020,6825393.0,6190,24928,6357783,6493112,6466550
234977,114,379,2429,9902147.0,147,47792560,346,13105,8042787.0,6753,24365,7457660,7621835,7585050
296730,116,381,2429,11012904.0,174,48504400,448,14277,9858400.0,6812,24306,9156067,9376303,9326737
598126,125,392,2429,12272802.0,275,52057800,562,19707,12488599.0,7093,24025,11186642,11575259,11491039
649200,127,390,2429,15883834.0,299,57309704,569,20006,16641480.0,7101,24017,15194594,15598808,15504885
649208,127,390,2429,20952993.0,299,57418496,570,20165,21742017.0,7101,24017,20293003,20698496,20604402
674324,127,390,2429,22702045.0,303,54925048,669,21937,23513084.0,7101,24017,21966738,22441392,22338864
755337,131,390,2429,26962189.0,344,58694240,691,22912,27798978.0,7142,23976,26087442,26586005,26471832
755344,131,390,2429,33265692.0,344,58783392,692,23112,34208181.0,7145,23973,32494796,32994788,32880449
759472,131,391,2429,35677574.0,343,55961728,793,24653,36673067.0,7153,23965,34739581,35307404,35184405
841769,132,391,2429,36643788.0,388,58107312,828,27056,37686199.0,7165,23953,35647367,36250814,36121032
842309,132,391,2429,37641276.0,388,58139216,864,29576,38714963.0,7165,23953,36642775,37274659,37140188
842849,132,391,2429,38634034.0,388,58309488,900,32096,39716280.0,7165,23953,37615409,38270940,38132348
843404,132,391,2429,39648947.0,388,58342024,937,34686,40733603.0,7165,23953,38598885,39282039,39139426
843988,132,391,2429,45400278.0,389,60433312,947,35551,47437011.0,7165,23953,45292740,45982360,45838759
872507,134,389,2429,47355647.0,409,58440984,1045,37079,49564222.0,7167,23951,47251583,48013161,47855587
893854,134,390,2429,52691310.0,428,65552448,1048,39600,56059397.0,7169,23949,53690842,54473119,54301921
931272,134,390,2429,57098031.0,445,66819096,1049,41885,61460525.0,7173,23945,59019320,59822111,59631561
