Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,1286,1665789.0,0,33215088,0,0,5016.0,0,19698,0,0,0
65441,57,219,1286,2864677.0,4,35217264,64,3193,1315652.0,4023,15675,1115765,390883,389689
84058,71,238,1286,4926465.0,20,35846800,201,6208,3496907.0,4788,14910,3207618,2338530,2328133
111353,102,315,1286,6952094.0,40,39692376,330,13106,5719533.0,6091,13607,5321222,4060489,4042231
146527,106,315,1286,7883808.0,44,39681288,380,18585,6726848.0,6167,13531,6240024,4101773,4080653
171049,111,327,1286,8808655.0,48,41092848,424,27900,7741396.0,6338,13360,7109532,4402733,4376629
216954,114,338,1286,9756627.0,49,40817392,469,38232,8754633.0,6510,13188,8037028,4595631,4565139
217202,114,339,1286,11486477.0,49,40867536,571,40981,10487549.0,6512,13186,9703857,6302145,6265514
238713,118,341,1286,13683871.0,54,38310688,702,45413,12717584.0,6579,13119,11805934,7935617,7891579
248874,118,341,1286,15448510.0,71,41514848,806,53712,14502384.0,6581,13117,13509965,9379641,9329398
290829,120,342,1286,16398148.0,89,41906552,857,61634,15503057.0,6605,13093,14417578,9383702,9329718
321910,123,353,1286,17805999.0,111,43171600,926,72538,16960970.0,6840,12858,15747244,10156236,10093131
359054,129,348,1286,18778068.0,115,43153464,971,78188,17985876.0,6853,12845,16690142,10275930,10211531
387190,133,344,1286,19731870.0,135,43613072,1015,83633,18991468.0,6853,12845,17610795,10332597,10264689
398537,133,344,1286,22108489.0,137,44416584,1134,88406,21429714.0,6853,12845,19969076,12487061,12410541
428816,134,343,1286,23088420.0,160,44266288,1169,93675,22433721.0,6853,12845,20853850,12681773,12598272
442913,135,345,1286,25243907.0,165,41749496,1285,96660,24741959.0,6900,12798,23060590,14520152,14423064
484401,137,352,1286,26166612.0,183,44879336,1325,102716,25743434.0,7068,12630,23976914,14617777,14517511
517650,137,354,1286,27142644.0,201,45321328,1366,111273,26749863.0,7071,12627,24896644,14625019,14517706
