program,evp_mean,vanilla_mean,improvement_pct,evp_samples,vanilla_samples
shred,95103678.75524476,690237242.1629629,86.22159556948522,429,135
touch,6622132.707865168,47048450.94214876,85.92486559013854,178,121
ln,278629337.0447542,741121083.3306581,62.40434345861928,1363,623
tail,322757020.86618704,833846783.0517039,61.29300641000685,695,1702
cp,32023835.560509555,81147398.53043479,60.53621417265911,157,115
chmod,167540550.31437308,356116731.8232258,52.95347414410756,1635,1550
mv,509651901.6296975,827561051.362069,38.41518993784568,1091,406
wc,668445254.092504,774009249.7714915,13.638596142120116,1254,1361
du,66200762.27142857,70289708.40322581,5.817275707476949,70,62
stat,30167993.56482246,28053874.555555556,-7.535925225160184,1211,135
