Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,1711,1642847.0,0,35768024,0,0,5721.0,0,25259,0,0,0
129888,75,221,1711,2762020.0,30,41257488,68,1815,1140446.0,4205,21054,893740,481718,480240
196139,97,301,1711,3732018.0,45,41610072,123,3623,2141224.0,5705,19554,1789199,914489,911852
208408,105,310,1711,5079310.0,46,38984840,223,5421,3497334.0,6009,19250,3071297,2245038,2239012
359853,107,320,1711,7021131.0,63,39674648,367,9203,5520664.0,6156,19103,4857265,3507654,3497933
388926,108,319,1711,8052136.0,111,40490192,475,11324,6601319.0,6261,18998,5851185,4467699,4451763
410345,108,320,1711,10248874.0,155,41274320,579,13511,8856394.0,6267,18992,7977723,6612822,6580965
576843,113,365,1711,11238130.0,231,45443056,629,17651,9865857.0,7025,18234,8734458,6846363,6807307
659401,127,390,1711,12192960.0,261,44184288,686,23448,10905524.0,7554,17705,9621018,7013821,6969470
747035,127,401,1711,13161934.0,297,47934224,744,28248,11922949.0,7661,17598,10442362,7165796,7117739
828521,135,417,1711,14387153.0,341,49232400,805,40833,13174218.0,7911,17348,11462735,7935138,7874345
888049,135,417,1711,15392726.0,340,48723392,855,50770,14183272.0,7911,17348,12320442,8707975,8640550
1013541,144,411,1711,17720149.0,462,50960920,976,61173,16552859.0,7929,17330,14367146,10470868,10375459
1188932,146,409,1711,18685944.0,522,52039520,1008,66200,17558621.0,7929,17330,15057894,10535310,10422903
1291823,148,407,1711,19660687.0,538,52366072,1049,70112,18582707.0,7943,17316,15899289,10746109,10631568
1423554,148,407,1711,20652214.0,548,52532496,1083,74185,19597350.0,7943,17316,16697689,10748969,10632170
1520605,148,407,1711,21618038.0,604,53551280,1113,77908,20609724.0,7943,17316,17472812,10785136,10657009
1699339,151,407,1711,22578486.0,677,54833744,1151,82715,21619087.0,7977,17282,18189180,10865618,10727677
1865596,152,410,1711,23546158.0,739,55929960,1193,87403,22631373.0,8053,17206,18931417,10933630,10788560
2046148,152,410,1711,24509354.0,750,56175848,1239,91200,23643331.0,8056,17203,19688478,11053939,10902046
