Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,1711,1581885.0,0,35747208,0,0,4302.0,0,25259,0,0,0
193685,93,301,1711,2709373.0,44,38555896,62,1039,1153320.0,5637,19622,830067,849948,847413
208408,105,310,1711,4246557.0,46,38944696,162,2837,2695204.0,6009,19250,2283645,2353977,2347995
359853,107,320,1711,6077786.0,63,39653240,273,4641,4615222.0,6156,19103,3963915,4087478,4075834
388926,108,319,1711,7131425.0,111,40469456,376,6270,5846789.0,6261,18998,5097154,5266141,5246848
417520,108,320,1711,8062390.0,170,41275312,476,8080,6860667.0,6267,18992,6018799,6231735,6202510
659401,127,390,1711,9097135.0,261,44164176,496,10153,7997786.0,7554,17705,6491595,6785973,6734655
828593,135,417,1711,10374742.0,341,49213904,539,21455,9307440.0,7911,17348,7316823,7871697,7801696
945328,135,419,1711,11366650.0,400,46924312,580,30753,10315533.0,7916,17343,8093073,8738593,8648720
1013613,144,411,1711,12848635.0,462,50947816,674,36658,11805307.0,7929,17330,9357560,10090111,9988325
1649608,148,408,1711,13762643.0,676,51703032,690,37076,12810697.0,7945,17314,9604030,10378501,10247043
2282423,153,409,1711,14705529.0,829,57713968,706,38309,13826523.0,8056,17203,9854299,10679285,10519247
2410093,153,409,1711,16357160.0,870,58573000,793,43818,15491726.0,8056,17203,11286582,12202846,12029080
2749748,163,404,1711,17329983.0,1005,58130360,813,46515,16491665.0,8109,17150,11724402,12752283,12535911
3361417,164,404,1711,18257547.0,1185,61408224,817,46591,17501416.0,8110,17149,11804818,12891536,12624263
3431234,164,404,1711,20522251.0,1200,64840728,917,48980,19776176.0,8110,17149,13893903,15077043,14800878
3492396,164,404,1711,22516064.0,1231,65463680,1017,51369,21784335.0,8110,17149,15687007,16969770,16678507
3678942,165,403,1711,24428807.0,1266,66231360,1117,53758,23702390.0,8110,17149,17289353,18663792,18349568
4083237,165,403,1711,26630551.0,1299,66967800,1218,56193,25951294.0,8110,17149,19017349,20493343,20157156
4805139,165,403,1711,27573827.0,1411,69163784,1222,56479,26951336.0,8110,17149,19086079,20603932,20235085
5153902,165,403,1711,28520030.0,1450,70066584,1257,64703,27951346.0,8110,17149,19622463,21234227,20835301
5692874,165,403,1711,30796556.0,1548,71980312,1354,71889,30256698.0,8110,17149,21241979,22982940,22543612
6282569,165,403,1711,31730668.0,1618,73235464,1359,71966,31260346.0,8110,17149,21338790,23119737,22649268
6974401,165,403,1711,32673097.0,1729,72367720,1361,72233,32260230.0,8110,17149,21395177,23260875,22724251
7660450,165,403,1711,33604045.0,1882,78227488,1367,72626,33260247.0,8110,17149,21516167,23426586,22857048
8295952,165,403,1711,34463774.0,2029,77921120,1368,73863,34260271.0,8110,17149,21537932,23488837,22885890
9049177,165,403,1711,35375330.0,2129,80204512,1369,75098,35274812.0,8110,17149,21556233,23574385,22912288
9802367,165,403,1711,36339825.0,2219,84881584,1374,75187,36274809.0,8110,17149,21638973,23709026,23006535
10344193,165,403,1711,37258358.0,2333,86964048,1379,75252,37274819.0,8110,17149,21767889,23897693,23145666
10938491,165,403,1711,38214345.0,2426,88842184,1379,75252,38274811.0,8110,17149,21767889,23972571,23156353
11768066,165,403,1711,39136743.0,2527,88065856,1380,75266,39274816.0,8110,17149,21786742,24040745,23184304
12432134,165,403,1711,40067293.0,2619,92884424,1385,76775,40274829.0,8110,17149,21878474,24174300,23285438
