Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,1493,1184300.0,0,34210960,0,0,4523.0,0,20859,0,0,0
16148,23,59,1493,2201149.0,3,38942624,71,1577,1120586.0,1288,19571,952354,60042,59951
38730,66,261,1493,3136961.0,6,39388072,138,6943,2131521.0,4810,16049,1888071,240771,240092
42158,69,274,1493,4141423.0,6,39373824,216,9067,3161778.0,5005,15854,2893009,240771,240092
42412,69,274,1493,5138964.0,6,39376128,288,11083,4202066.0,5005,15854,3929033,240771,240092
42721,69,274,1493,6160288.0,6,39378432,380,13659,5241331.0,5005,15854,4965544,240771,240092
54197,73,275,1493,7157562.0,6,40015464,437,21275,6241431.0,5096,15763,5943799,289583,287949
54921,73,278,1493,8161925.0,6,40280088,479,24215,7258401.0,5139,15720,6931705,1299022,1291662
55671,73,278,1493,9172154.0,6,40645448,529,27715,8269230.0,5139,15720,7911626,2304228,2290889
56301,73,278,1493,10158181.0,6,41142264,571,30655,9279220.0,5139,15720,8892783,3309430,3290789
57119,74,296,1493,11113150.0,7,41883216,614,36852,10280724.0,5343,15516,9841624,4304499,4278903
57738,74,296,1493,11935495.0,7,42117424,651,43337,11284988.0,5370,15489,10754036,5273488,5242982
58458,74,296,1493,12931906.0,7,42669072,699,51737,12302073.0,5370,15489,11707827,6286323,6250218
58938,74,296,1493,13694098.0,7,42952720,731,57337,13307730.0,5370,15489,12661457,7287009,7245547
59613,74,296,1493,14505104.0,7,43139056,776,65212,14328005.0,5370,15489,13575513,8294528,8244900
60243,74,296,1493,15472550.0,7,43322800,818,72562,15333388.0,5370,15489,14521982,9295302,9239440
61045,76,294,1493,16449940.0,9,43329672,861,78927,16334796.0,5370,15489,15468257,10291215,10229756
61630,76,294,1493,17474523.0,9,43492496,900,81657,17366117.0,5370,15489,16473865,11318163,11251776
62260,76,294,1493,18496606.0,9,43611264,942,84597,18391486.0,5370,15489,17469864,12337487,12264694
62875,76,294,1493,19503631.0,9,44360568,983,87467,19410461.0,5370,15489,18458556,13348837,13268863
63603,76,294,1493,20499913.0,10,45317720,1020,91801,20417362.0,5370,15489,19424134,14349156,14264119
75231,79,293,1493,23008554.0,15,42991496,1153,98707,22931816.0,5396,15463,21758038,16809642,16711157
84520,79,297,1493,24021170.0,30,46169368,1197,109533,23945258.0,5489,15370,22707198,17610504,17507661
85210,79,297,1493,25021017.0,30,46356568,1243,117583,24945693.0,5489,15370,23637434,18606018,18497266
85900,79,297,1493,26050010.0,30,46543832,1289,125633,25976529.0,5489,15370,24600644,19630916,19515505
86575,79,297,1493,27015771.0,30,46730168,1334,133508,26984327.0,5489,15370,25543524,20630376,20508621
87370,79,297,1493,27891518.0,30,46932632,1387,142783,28020670.0,5489,15370,26512731,21661752,21534073
99094,80,308,1493,28620886.0,31,46946128,1438,149221,29024380.0,5614,15245,27444902,21829062,21700546
100150,80,308,1493,29504354.0,31,46955528,1487,150299,30042499.0,5614,15245,28420528,21829062,21700546
107702,80,308,1493,30467771.0,31,47161688,1532,154322,31046611.0,5614,15245,29361106,22246633,22115382
108257,80,308,1493,31418632.0,31,47314392,1569,161019,32068180.0,5614,15245,30170899,23133393,22989496
108902,80,308,1493,32397419.0,31,47461720,1612,168802,33087876.0,5614,15245,31115618,24147364,23997395
109607,80,308,1493,33408696.0,31,47650520,1659,177309,34109424.0,5614,15245,32054947,25164109,25007272
110282,80,308,1493,34417285.0,31,47826776,1704,185454,35121851.0,5614,15245,32987769,26171964,26008709
140085,80,310,1493,35427320.0,31,47930600,1753,197527,36138743.0,5623,15236,33925234,26702923,26535490
151006,80,312,1493,36425793.0,31,48043912,1804,208736,37140640.0,5626,15233,34858305,27321475,27149712
151666,80,312,1493,37410509.0,31,49790216,1848,216700,38153241.0,5626,15233,35797630,28329819,28152211
152461,80,312,1493,38385286.0,31,50532008,1901,226293,39161042.0,5626,15233,36722948,29332229,29148333
153091,80,312,1493,39366823.0,31,50703848,1943,233895,40185595.0,5626,15233,37669548,30352453,30162610
153766,80,312,1493,40362476.0,31,50896520,1988,242040,41185599.0,5626,15233,38585653,31347682,31150706
164247,80,312,1493,41360669.0,31,51005552,2037,252269,42210088.0,5628,15231,39516049,32059224,31857584
164952,80,312,1493,42362966.0,31,51202832,2084,260494,43214222.0,5628,15231,40451424,33058504,32850386
165732,80,312,1493,43371691.0,31,51441360,2136,269594,44231668.0,5628,15231,41400481,34071097,33856327
166497,80,312,1493,44352843.0,31,51632880,2187,278519,45241582.0,5628,15231,42323091,35074103,34852450
167232,80,312,1493,45332872.0,31,51831888,2236,287094,46245739.0,5628,15231,43262579,36072818,35844570
169315,80,312,1493,46273745.0,32,51908784,2294,293249,47246005.0,5628,15231,44205949,36677871,36445859
170647,80,312,1493,47233445.0,32,51918184,2363,294767,48249259.0,5628,15231,45174891,36677871,36445859
178283,80,312,1493,48224553.0,32,52225096,2412,302694,49253192.0,5628,15231,46100046,37514619,37277437
178943,80,312,1493,49226336.0,32,52407752,2456,310658,50256288.0,5628,15231,47023170,38513148,38269953
