Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,1493,643472.0,0,34192128,0,0,22472.0,0,20859,0,0,0
54651,73,278,1493,1118063.0,6,40067944,43,2207,1142674.0,5139,15720,910788,928374,923762
55206,73,278,1493,1606670.0,6,40366304,80,4797,2155728.0,5139,15720,1896328,1936657,1926160
55821,73,278,1493,1966988.0,6,40629848,121,7667,3164813.0,5139,15720,2871664,2940615,2918636
56346,73,278,1493,2437450.0,6,41089408,156,10117,4165372.0,5139,15720,3848172,3936100,3908894
57194,74,296,1493,2928283.0,7,41807440,201,17009,5173773.0,5343,15516,4793205,4931518,4898681
57783,74,296,1493,3910941.0,7,42034928,236,23012,6187093.0,5370,15489,5734116,5939718,5900914
58458,74,296,1493,4917999.0,7,42218528,281,30887,7199898.0,5370,15489,6680095,6947100,6902799
59268,74,296,1493,5922174.0,7,42977024,335,40337,8207723.0,5370,15489,7616263,7949647,7899258
59973,74,296,1493,6910912.0,7,43150608,382,48562,9218661.0,5370,15489,8561873,8956305,8900699
60738,74,296,1493,7923752.0,7,43382496,433,57487,10236117.0,5370,15489,9515266,9968627,9906897
61495,76,294,1493,8908863.0,9,43354080,473,61122,11243518.0,5370,15489,10454747,10932618,10865827
62140,76,294,1493,9929271.0,9,43501064,516,64132,12264237.0,5370,15489,11448747,11948687,11876638
62590,76,294,1493,10935674.0,9,43644440,546,66232,13274361.0,5370,15489,12434935,12953897,12877234
63205,76,294,1493,11955502.0,9,44716880,587,69102,14295118.0,5370,15489,13429710,13970143,13888377
63948,76,294,1493,12956496.0,10,45331688,625,75060,15308844.0,5370,15489,14384421,14979189,14891528
75246,79,293,1493,14781197.0,15,42908120,736,77984,17135265.0,5396,15463,16118027,16788779,16691016
84715,79,297,1493,15798563.0,30,46126952,782,86080,18153806.0,5489,15370,17061025,17795997,17690163
85405,79,297,1493,16803654.0,30,46327496,828,94130,19162185.0,5489,15370,18002131,18798499,18686474
86095,79,297,1493,17822952.0,30,46500328,874,102180,20182567.0,5489,15370,18954242,19813687,19695543
86770,79,297,1493,18823563.0,30,46663192,919,110055,21183288.0,5489,15370,19889948,20809745,20682861
93152,80,305,1493,19823218.0,30,46845384,958,116880,22183291.0,5582,15277,20793170,21773419,21640836
107927,80,308,1493,20834370.0,31,47123880,997,123781,23195215.0,5614,15245,21726467,22769020,22630115
108527,80,308,1493,21837517.0,31,47278504,1037,131021,24202113.0,5614,15245,22666449,23771264,23624492
109172,80,308,1493,22846790.0,31,47453480,1080,138804,25211725.0,5614,15245,23607925,24776385,24623891
109787,80,308,1493,23856779.0,31,47610792,1121,146225,26222237.0,5614,15245,24550415,25782257,25624059
110447,80,308,1493,24857598.0,31,47777192,1165,154189,27228027.0,5614,15245,25491106,26783347,26619438
151126,80,312,1493,25866640.0,31,47967000,1211,162393,28237008.0,5626,15233,26395924,27751394,27580359
151636,80,312,1493,26900195.0,31,49031512,1245,168547,29273295.0,5626,15233,27360014,28780588,28602665
152131,80,312,1493,27913506.0,31,50357368,1278,174520,30287020.0,5626,15233,28309119,29790197,29606792
152656,80,312,1493,28943275.0,31,50505176,1313,180855,31316846.0,5626,15233,29215734,30753659,30563067
163332,80,312,1493,29959606.0,31,50697248,1358,188988,32333685.0,5628,15231,30131342,31734640,31536756
164052,80,312,1493,30965106.0,31,50880800,1406,197388,33340700.0,5628,15231,31061661,32734932,32531005
