Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,1824,1136548.0,0,37978000,0,0,3466.0,0,25316,0,0,0
31169,48,169,1824,2160296.0,6,43086864,87,5926,1061642.0,3233,22083,950214,109663,109423
55613,72,294,1824,3187869.0,6,40238792,197,14659,2111095.0,5135,20181,1943083,216463,215665
84301,79,297,1824,3849313.0,12,43786592,304,26727,3117119.0,5322,19994,2882073,310463,309155
85697,79,297,1824,4562350.0,13,43779816,412,43312,4121543.0,5322,19994,3841590,311014,309155
119282,89,296,1824,5755595.0,19,41223888,620,56125,5793033.0,5510,19806,5409916,1097804,1091674
147283,100,304,1824,6381496.0,44,44428888,718,80778,6797610.0,5714,19602,6338042,1189168,1182616
157809,100,304,1824,7091605.0,44,44459448,826,93178,7805546.0,5715,19601,7286827,1189289,1182621
177159,100,304,1824,7961467.0,51,44558520,944,107032,8809241.0,5715,19601,8248582,1189531,1182626
196635,101,304,1824,8961708.0,64,44747704,1063,119952,9809995.0,5731,19585,9212465,1215844,1207796
209290,101,304,1824,9967449.0,65,44765152,1175,132685,10816033.0,5731,19585,10191338,1225010,1216862
219105,101,304,1824,10968897.0,67,44796624,1288,144673,11818874.0,5731,19585,11144825,1225169,1216892
232924,105,309,1824,11975536.0,88,45168944,1409,157630,12825453.0,5847,19469,12116971,1373153,1363519
241504,105,309,1824,12979749.0,88,45165056,1525,169335,13829547.0,5847,19469,13095597,1373159,1363519
250977,105,309,1824,13983863.0,91,45244192,1639,186319,14834807.0,5847,19469,14070404,1418361,1408464
252441,105,309,1824,14989832.0,91,45229264,1759,203329,15840717.0,5847,19469,15052368,1418361,1408464
253829,105,309,1824,15995140.0,91,45229264,1873,215299,16846102.0,5847,19469,16032613,1418361,1408464
276841,112,313,1824,16999633.0,109,45521304,1990,228032,17850856.0,5989,19327,16999205,1551144,1539978
292795,113,312,1824,18006242.0,111,45573000,2109,242416,18857428.0,5989,19327,17972177,1551882,1540027
315529,115,311,1824,19011445.0,148,46340560,2212,267543,19862942.0,6007,19309,18925977,1576236,1561186
322800,115,311,1824,20035216.0,163,46752208,2337,281913,20886593.0,6007,19309,19898497,2313515,2293762
333486,115,311,1824,21039573.0,164,46663328,2443,312059,21890802.0,6007,19309,20850794,2327330,2307439
343678,116,322,1824,22041383.0,179,48528448,2539,330456,22892838.0,6128,19188,21783345,2455962,2435177
357206,116,322,1824,23042619.0,179,48648048,2645,360701,23893938.0,6128,19188,22753252,2456884,2435535
360130,116,322,1824,24045914.0,197,49015352,2761,375778,24897341.0,6128,19188,23722745,2458761,2435552
