Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,1824,1174090.0,0,37894848,0,0,6186.0,0,25316,0,0,0
119282,89,296,1824,2885645.0,19,41092592,139,2949,1721686.0,5510,19806,1478728,1534463,1528019
315732,115,311,1824,4262169.0,148,43437712,292,5962,3112984.0,6007,19309,2691563,2801958,2782884
401919,117,324,1824,5295397.0,213,46054112,397,10580,4192210.0,6179,19137,3614669,3811870,3782306
776294,141,349,1824,6426166.0,387,49305752,472,19507,5351290.0,6728,18588,4397616,4726902,4680700
946651,141,349,1824,7409810.0,508,51522056,582,21249,6362239.0,6728,18588,5243688,5619676,5560111
1029935,148,354,1824,8504325.0,564,52873544,693,24689,7470724.0,6819,18497,6203167,6642035,6564425
1176627,149,355,1824,9527595.0,657,54576040,800,26397,8494131.0,6844,18472,7059157,7548852,7457222
1292707,155,363,1824,10923487.0,709,55256808,951,29389,9890172.0,7097,18219,8313929,8865904,8764617
1637386,170,408,1824,12040080.0,881,61749360,1017,40466,11007220.0,7954,17362,9060389,9717988,9587736
1777597,170,408,1824,13128216.0,926,59728344,1125,42827,12108084.0,7954,17362,9985402,10700058,10558201
2079951,180,408,1824,14421249.0,1029,62704440,1241,48595,13406118.0,8073,17243,10972323,11801362,11642342
2171045,183,418,1824,15549246.0,1055,63316808,1355,50690,14536721.0,8220,17096,11966849,12855182,12685571
2540830,184,419,1824,17358698.0,1189,66216976,1522,55871,16356981.0,8241,17075,13428568,14446491,14256489
3150732,186,419,1824,18541504.0,1508,75578040,1581,66023,17543704.0,8258,17058,13997769,15185309,14936632
3410096,188,417,1824,20180376.0,1585,77275824,1717,83458,19189157.0,8262,17054,15267697,16653579,16379205
4118628,188,417,1824,21758298.0,1900,80621264,1837,88236,20783383.0,8262,17054,16220885,17753639,17426222
4667467,188,417,1824,22766799.0,2122,87564216,1886,98237,21799258.0,8262,17054,16730552,18395668,18025214
5491619,188,417,1824,23732429.0,2469,94491576,1912,102232,22799242.0,8268,17048,16978553,18727279,18289322
5876015,194,412,1824,25407501.0,2686,98976280,2055,113102,24476594.0,8277,17039,18198102,20121017,19634342
6089927,196,412,1824,26587464.0,2798,101225376,2157,116047,25668624.0,8400,16916,19112683,21140002,20618360
6362939,196,414,1824,27588572.0,2836,102122256,2246,121576,26673413.0,8507,16809,19864804,21974240,21436308
7475153,205,410,1824,28576623.0,3148,105248408,2262,122991,27673406.0,8579,16737,20043246,22237076,21632029
7702467,205,410,1824,29686575.0,3271,110839296,2356,128899,28791158.0,8579,16737,20876407,23174272,22538169
8719517,205,410,1824,30669900.0,3701,119178920,2375,129810,29791154.0,8579,16737,21059454,23454792,22738722
8826310,205,410,1824,31674751.0,3755,120720752,2472,132328,30799451.0,8579,16737,21889509,24366362,23618229
9436896,205,410,1824,33005230.0,3918,120931624,2568,134234,32142497.0,8583,16733,22731845,25285239,24514169
9678981,211,404,1824,34182757.0,4040,123740008,2662,137369,33335792.0,8583,16733,23606544,26271567,25462165
10752201,213,406,1824,35166333.0,4444,130925160,2676,138513,34335778.0,8603,16713,23758141,26500421,25630787
11350648,213,410,1824,36839825.0,4728,139774048,2791,141865,36025072.0,8623,16693,24807319,27712835,26764870
11489724,213,410,1824,37839921.0,4749,140389048,2886,145243,37025054.0,8623,16693,25645434,28630934,27675742
12726313,214,410,1824,38828646.0,5103,144644104,2898,145479,38025055.0,8627,16689,25754248,28823785,27800930
13894377,219,433,1824,39812255.0,5434,154594024,2912,145739,39025050.0,9223,16093,25888195,29034518,27953100
14113103,220,432,1824,40817583.0,5525,156741040,2965,150097,40038206.0,9228,16088,26689746,29887589,28789910
14114123,220,432,1824,41829112.0,5525,156931472,3033,154857,41049590.0,9228,16088,27665278,30892450,29789173
14792882,220,432,1824,43606533.0,5737,158359104,3155,158364,42847396.0,9229,16087,28837045,32183061,31022183
14918412,220,432,1824,44602953.0,5796,162438408,3244,161358,43847405.0,9229,16087,29678140,33085478,31915918
15230305,220,432,1824,45728487.0,5890,164302040,3344,163747,44973600.0,9229,16087,30504175,34004414,32816763
15434720,222,448,1824,46819675.0,5947,165585312,3433,169540,46071991.0,9405,15911,31364769,34963002,33756702
16483935,227,449,1824,48592333.0,6213,168339048,3535,171794,47865560.0,9483,15833,32283958,36022225,34740805
17391015,228,454,1824,49569413.0,6490,176838040,3551,173954,48876152.0,9619,15697,32492177,36342493,34992284
18441828,228,487,1824,50561538.0,6745,179374648,3569,175249,49876156.0,9935,15381,32717370,36643179,35246053
18576770,228,487,1824,51697978.0,6780,183495464,3577,175793,51016405.0,9935,15381,33753387,37690724,36287336
19047015,228,487,1824,52694362.0,6891,185560584,3583,176601,52016428.0,9935,15381,34320297,38295110,36864894
20064070,228,487,1824,53677059.0,7191,191498080,3589,177756,53016404.0,9935,15381,34402863,38458620,36964170
20503754,228,487,1824,55171989.0,7372,192466840,3685,182314,54540221.0,9935,15381,35453126,39622317,38085969
21104129,228,487,1824,56184046.0,7609,200094600,3732,192556,55552300.0,9935,15381,35948055,40239361,38659500
21960455,228,487,1824,57155496.0,7853,204926896,3763,195404,56552297.0,9935,15381,36281517,40661666,39027599
22396564,228,487,1824,58390611.0,8013,205472776,3853,197985,57799502.0,9935,15381,37082110,41564699,39898100
23420890,232,486,1824,59376775.0,8238,213460936,3873,199781,58801745.0,9968,15348,37365451,41911115,40206790
23845133,232,486,1824,60385619.0,8422,217413616,3922,203355,59814391.0,9968,15348,37974550,42584545,40837406
23846258,232,486,1824,61387557.0,8422,217571608,3997,208605,60819958.0,9968,15348,38942969,43583529,41831148
24512803,232,486,1824,63092182.0,8535,217416256,4110,212730,62532475.0,9968,15348,40057439,44810108,43031689
24575960,232,486,1824,64110042.0,8585,221463696,4205,216617,63550234.0,9968,15348,40919894,45769355,43972397
25119657,232,486,1824,65112941.0,8743,224689528,4246,225428,64564609.0,9968,15348,41387528,46383004,44521462
26220370,232,486,1824,66087287.0,9056,231256896,4258,226865,65565307.0,9968,15348,41525244,46620953,44681255
27326157,232,487,1824,67064617.0,9352,237497296,4273,228537,66568849.0,9974,15342,41697869,46881850,44877301
28393769,232,487,1824,68048416.0,9699,244523288,4282,230188,67573151.0,9974,15342,41833452,47111582,45042113
29545240,232,487,1824,69036470.0,10028,248392152,4291,230335,68573152.0,9974,15342,41922064,47285529,45148078
30501934,232,487,1824,70024395.0,10224,255851312,4307,233381,69573153.0,9974,15342,42183754,47653106,45462687
31645101,232,487,1824,71015103.0,10550,262441344,4316,234498,70575944.0,9974,15342,42285559,47876666,45589833
32281773,233,486,1824,72478918.0,10701,265702624,4422,238115,72043558.0,9974,15342,43155460,48887185,46545008
32571197,233,486,1824,73687803.0,10717,263423752,4512,240314,73256437.0,9974,15342,44092838,49912864,47560167
32651856,233,486,1824,74688884.0,10765,267229288,4603,242573,74257377.0,9974,15342,44963800,50852235,48490418
33568051,233,486,1824,75647904.0,11064,270398368,4625,244583,75257376.0,9974,15342,45234479,51200763,48783134
34727053,233,486,1824,76619247.0,11437,281074080,4635,245353,76257393.0,9974,15342,45342178,51401088,48906357
35396433,233,486,1824,78073260.0,11627,282067216,4730,247625,77715014.0,9974,15342,46234772,52403003,49862757
35584677,233,486,1824,79138188.0,11675,283053000,4827,249187,78788019.0,9974,15342,47106551,53338962,50786824
36363106,233,486,1824,80662533.0,11822,289167448,4928,252178,80316678.0,9974,15342,47987287,54364742,51763202
37165353,233,486,1824,82397185.0,12004,293069088,5049,256210,82085156.0,9974,15342,49045473,55589537,52926984
38073339,233,486,1824,83388892.0,12197,297401960,5072,259901,83085155.0,9974,15342,49339747,55985621,53279567
38200118,233,486,1824,84388542.0,12223,297973736,5172,262290,84085154.0,9974,15342,50169017,56904523,54188487
38338475,233,486,1824,85390247.0,12222,298412320,5261,269408,85099106.0,9974,15342,50980251,57834224,55108834
39544233,233,486,1824,86367029.0,12483,303755192,5268,270402,86105017.0,9974,15342,51080401,58026738,55228800
40239806,233,486,1824,87945917.0,12635,307094984,5372,273729,87688646.0,9974,15342,52033370,59135998,56284901
40509574,233,486,1824,89197908.0,12701,308720864,5466,279838,88944500.0,9974,15342,52971054,60198050,57320839
40635541,233,486,1824,90241918.0,12714,309061224,5565,282599,89989001.0,9974,15342,53837612,61162017,58275411
41592999,233,486,1824,91233857.0,12945,313937352,5579,285632,90989002.0,9974,15342,54067544,61506084,58565601
