Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,1185,705975.0,0,32091000,0,0,2335.0,0,18361,0,0,0
30275,49,152,1185,1732924.0,6,37496232,114,4285,1049565.0,3092,15269,966548,186213,185501
31370,49,152,1185,2742206.0,6,37990576,187,9395,2059172.0,3092,15269,1944360,1190895,1184305
32664,50,152,1185,3750372.0,6,38660656,262,14581,3071788.0,3097,15264,2924422,2198738,2186240
33774,50,152,1185,4758165.0,6,38910176,336,19761,4079997.0,3097,15264,3902030,3202419,3183853
35064,50,152,1185,5766293.0,6,39731904,410,24877,5088536.0,3097,15264,4877515,4205465,4180540
37428,50,152,1185,6797133.0,6,39963824,492,29921,6119739.0,3097,15264,5876689,5108606,5078269
37936,50,152,1185,7811602.0,6,39973424,636,33953,7134612.0,3097,15264,6889507,5108606,5078269
49871,50,152,1185,8817983.0,6,40232576,762,42823,8145399.0,3097,15264,7886505,5316546,5284691
50951,50,152,1185,9826265.0,6,40508480,834,47863,9158158.0,3097,15264,8866693,6324245,6286288
52245,50,152,1185,10838670.0,6,40905536,909,53049,10170912.0,3097,15264,9844727,7331370,7287011
53310,50,152,1185,11840416.0,6,42103736,980,58019,11173040.0,3097,15264,10805638,8319129,8268118
54555,50,152,1185,12848841.0,6,42356912,1051,62925,12181751.0,3097,15264,11781843,9322470,9265508
55590,50,152,1185,13857130.0,6,42621768,1120,67755,13190307.0,3097,15264,12758347,10326006,10262971
56718,52,155,1185,14874338.0,8,40056600,1187,72679,14208205.0,3139,15222,13743780,11338719,11270051
56770,53,156,1185,16005809.0,9,49114584,1192,74880,15389865.0,3158,15203,14914580,12520092,12450917
56780,54,155,1185,22482478.0,9,52336776,1193,75351,21881132.0,3158,15203,21403289,19011186,18941858
56827,54,155,1185,25544714.0,9,52351400,1198,76824,24955633.0,3158,15203,24451987,22068469,21998608
58425,55,179,1185,26540375.0,9,52813824,1270,91737,25955644.0,3428,14933,25384824,22872752,22797164
59644,55,179,1185,27530171.0,9,53119024,1352,105923,26960459.0,3428,14933,26315362,23873611,23791470
60874,55,179,1185,28506919.0,9,53405872,1434,120109,27964579.0,3428,14933,27243382,24873522,24784915
