Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,1185,704564.0,0,32081656,0,0,2859.0,0,18361,0,0,0
31010,49,152,1185,1741259.0,6,37784400,69,4027,1040741.0,3092,15269,953215,975926,970718
32120,49,152,1185,2745458.0,6,38219520,143,9207,2045579.0,3092,15269,1927720,1976119,1965052
33414,50,152,1185,3757373.0,6,38828816,218,14393,3058533.0,3097,15264,2907250,2983038,2965346
34524,50,152,1185,4765600.0,6,39387488,292,19573,4067360.0,3097,15264,3885828,3987156,3963450
35829,50,152,1185,5774208.0,6,39885288,367,24759,5076594.0,3097,15264,4861463,4991218,4960830
50516,50,152,1185,6780104.0,6,40361704,441,29947,6086780.0,3097,15264,5833218,5990957,5954526
51611,50,152,1185,7784541.0,6,40582944,514,35057,7096997.0,3097,15264,6809229,6995954,6953601
52890,50,152,1185,8780255.0,6,41899688,588,40173,8101217.0,3097,15264,7780836,7994909,7946852
53970,50,152,1185,9792937.0,6,42177832,660,45213,9114607.0,3097,15264,8760574,9003140,8948879
55260,50,152,1185,10794156.0,6,42481352,734,50329,10116120.0,3097,15264,9726040,9998987,9937791
56340,50,152,1185,11794765.0,6,42761288,806,55369,11121612.0,3097,15264,10687388,10989581,10922015
56680,53,156,1185,13111136.0,9,49072392,822,58574,12455190.0,3158,15203,12004113,12321575,12252738
56690,54,155,1185,19938866.0,9,52303576,823,59045,19303505.0,3158,15203,18850109,19169718,19100754
56737,54,155,1185,23618877.0,9,52284296,828,60518,22989635.0,3158,15203,22527714,22855512,22786105
58399,55,179,1185,24613732.0,9,52762880,895,71870,23993051.0,3428,14933,23443888,23836566,23759955
59494,55,179,1185,25619367.0,9,53061936,968,84499,24999485.0,3428,14933,24376749,24838917,24754943
60664,55,179,1185,26623448.0,9,53364432,1046,97993,26003833.0,3428,14933,25304597,25839043,25748605
61894,55,179,1185,27630887.0,9,54205296,1128,112179,27013984.0,3428,14933,26233878,26845091,26747862
