Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,32371,4068639.0,0,247708032,0,0,54377.0,0,404472,0,0,0
139104,26,146,32371,5135196.0,1,255382064,123,2699,1121219.0,3131,401341,924198,8614,8604
188227,62,504,32371,6140989.0,10,256053288,257,8865,2127238.0,7777,396695,1879687,184324,183537
223737,87,654,32371,7144945.0,11,256920448,399,16737,3131420.0,9745,394727,2846774,400509,398885
285074,130,775,32371,8150210.0,12,256822424,538,25415,4136958.0,11429,393043,3801977,497039,494955
356691,141,837,32371,9151272.0,12,256997080,677,34215,5138248.0,12159,392313,4748309,511776,509586
453752,146,855,32371,10151937.0,13,253979136,812,43424,6139125.0,12412,392060,5678242,620628,617824
551260,148,853,32371,11155095.0,15,257188256,946,56491,7144005.0,12416,392056,6602456,714949,711310
611261,149,852,32371,12154402.0,14,257153608,1075,67897,8149746.0,12416,392056,7548709,833921,829440
643948,150,851,32371,13141441.0,10,256935680,1202,77350,9153099.0,12416,392056,8508817,887375,882659
716200,151,850,32371,14115597.0,11,257144680,1331,85889,10157618.0,12416,392056,9445523,896477,890669
764885,151,850,32371,15102650.0,12,257155456,1435,92719,11157617.0,12416,392056,10183873,896541,890669
843510,152,849,32371,16096668.0,12,257080912,1571,101374,12159632.0,12416,392056,11127062,903604,897616
949852,152,849,32371,17102523.0,16,257246848,1703,112668,13165748.0,12416,392056,12060651,904504,897616
1043479,152,849,32371,18088335.0,14,257118336,1833,125668,14167340.0,12416,392056,12989229,905776,897616
1080087,152,849,32371,19077833.0,12,257074456,1971,137452,15168601.0,12416,392056,13950840,906104,897616
1115723,152,849,32371,20068262.0,11,257278040,2101,145695,16171967.0,12416,392056,14903112,1124792,1115313
1212526,152,849,32371,21064971.0,11,257313824,2232,155089,17175993.0,12416,392056,15832986,1207946,1197760
1282396,153,848,32371,22054079.0,11,257114272,2364,163810,18177026.0,12416,392056,16774909,1239206,1228737
1352344,153,848,32371,23042713.0,11,257069824,2501,172437,19177949.0,12416,392056,17719085,1293194,1282268
1451090,153,848,32371,24037669.0,14,257288136,2636,184830,20180924.0,12416,392056,18647724,1357925,1346023
1505742,153,848,32371,25023865.0,12,257106568,2726,193715,21181498.0,12416,392056,19384343,1433692,1420815
1567297,153,848,32371,26018502.0,10,257037688,2862,206245,22184655.0,12416,392056,20328291,1480431,1466987
1639595,155,846,32371,27020905.0,11,257261104,3002,217211,23190220.0,12417,392055,21274862,1510886,1496393
1709781,161,842,32371,28009573.0,11,257072656,3133,226230,24191586.0,12460,392012,22218172,1520590,1505824
1774267,161,842,32371,29005352.0,11,257098752,3272,235266,25191599.0,12460,392012,23167499,1520871,1505824
1875656,161,842,32371,29992701.0,14,257330416,3407,248116,26192139.0,12460,392012,24096426,1521874,1505824
1968979,161,842,32371,30976527.0,12,257206352,3542,262210,27198267.0,12460,392012,25034607,1523343,1505824
2002804,161,842,32371,31967368.0,10,257132544,3681,275294,28198401.0,12460,392012,25997776,1523709,1505824
2073749,161,842,32371,32970649.0,11,257272000,3806,285137,29201862.0,12460,392012,26944476,1524643,1505841
2142486,163,840,32371,33962810.0,11,257183176,3937,294109,30202194.0,12460,392012,27889030,1524925,1505854
2199155,163,840,32371,34949842.0,11,257180600,4047,301161,31207378.0,12460,392012,28645118,1525112,1505854
2298174,163,840,32371,35943731.0,14,257302696,4181,313113,32209534.0,12460,392012,29573423,1526118,1505854
2367493,163,840,32371,36936794.0,12,257123664,4311,326915,33215086.0,12460,392012,30518328,1527452,1505854
2427251,163,840,32371,37920119.0,11,257164872,4448,340120,34220214.0,12460,392012,31473207,1528002,1505854
2501426,165,846,32371,38922612.0,12,257637400,4580,352561,35226570.0,12514,391958,32418555,1551478,1527256
2526379,165,846,32371,39922280.0,12,257539976,4698,363451,36230659.0,12514,391958,33388582,1565628,1540528
2596413,169,845,32371,40921318.0,12,257534440,4832,373826,37235169.0,12574,391898,34334880,1566330,1540572
2705331,170,844,32371,41922061.0,12,257663688,4969,384846,38240098.0,12574,391898,35269745,1567221,1540759
2803524,170,844,32371,42915071.0,12,257682744,5100,398810,39242035.0,12574,391898,36200713,1576201,1548524
2905140,170,844,32371,43882797.0,15,257821184,5218,413105,40245099.0,12574,391898,37115234,1593826,1564929
2956053,170,844,32371,44880775.0,14,257812640,5319,425917,41252518.0,12574,391898,37856180,1595026,1565115
3028793,170,844,32371,45867867.0,14,257773312,5442,441614,42257042.0,12574,391898,38798014,1604140,1573614
3123920,170,844,32371,46856986.0,13,257723632,5575,457265,43263682.0,12574,391898,39735111,1615595,1583253
3194787,170,844,32371,47854433.0,12,257665088,5710,472382,44265399.0,12574,391898,40682502,1623876,1591053
3266399,171,843,32371,48855929.0,11,257546016,5844,486723,45267538.0,12574,391898,41631325,1640613,1607283
3318386,172,850,32371,49849066.0,10,257610248,5954,496271,46268563.0,12644,391828,42576255,1734238,1699496
3345665,180,886,32371,50844630.0,16,260440912,6081,510053,47273281.0,13144,391328,43539512,1803033,1767855
3466660,185,899,32371,51847643.0,15,260478920,6209,518813,48276967.0,13343,391129,44464275,1811696,1775753
3555703,186,898,32371,52850626.0,17,260627368,6336,530716,49283430.0,13343,391129,45386282,1970279,1932907
3649929,186,898,32371,53828093.0,18,260833448,6463,545274,50287023.0,13343,391129,46306481,2068314,2029441
3703748,188,896,32371,54824236.0,17,260651624,6566,555973,51288508.0,13346,391126,47036536,2129143,2089350
3770476,189,900,32371,55808746.0,14,260576120,6683,565271,52290454.0,13460,391012,47973162,2144888,2104874
3829460,198,913,32371,56808291.0,12,261632544,6799,575156,53290728.0,13730,390742,48912919,2444470,2401844
3838429,199,912,32371,57815764.0,12,261505616,6886,578640,54301866.0,13734,390738,49853244,3303652,3243550
3895302,199,912,32371,58815598.0,12,261393424,6980,583373,55308467.0,13734,390738,50777882,3870631,3796146
3996228,207,909,32371,59811273.0,13,261254352,7110,593075,56313655.0,13789,390683,51705304,3959613,3883304
4007285,211,907,32371,60813310.0,13,262123864,7206,601106,57321438.0,13807,390665,52653623,4601996,4516925
4011873,211,907,32371,61815836.0,13,262234064,7285,603660,58327024.0,13807,390665,53580254,5602068,5494483
4120187,213,907,32371,62808927.0,13,261992656,7409,611572,59333693.0,13826,390646,54504295,5720631,5607905
4168787,217,906,32371,63803299.0,12,265930680,7488,617966,60338742.0,13858,390614,55460734,6230911,6117301
4175166,217,906,32371,64800607.0,13,267823128,7552,627858,61346246.0,13858,390614,56184647,6584632,6465849
4181809,218,906,32371,65798629.0,13,267672672,7617,633042,62347762.0,13866,390606,57001855,7543750,7404940
4215155,218,906,32371,66803105.0,13,267763456,7674,639376,63357926.0,13866,390606,57917282,8038778,7888771
4279715,218,906,32371,67768609.0,13,267785944,7731,646790,64357927.0,13866,390606,58846210,8060594,7907375
4288296,218,906,32371,68750370.0,13,268109160,7784,652886,65362075.0,13866,390606,59781880,8465817,8307404
4296071,218,906,32371,69750355.0,13,268402600,7844,658378,66371655.0,13866,390606,60644936,9268453,9094593
4306825,218,906,32371,70770921.0,13,268203544,7907,664067,67395275.0,13866,390606,61517267,10075117,9885224
4386917,218,906,32371,71758779.0,13,268261600,7974,672792,68396308.0,13866,390606,62455104,10097956,9904013
4404344,218,906,32371,72756479.0,13,269159536,8039,680598,69408696.0,13866,390606,63394590,10398509,10199990
4451984,221,903,32371,73758828.0,13,269198472,8104,688390,70411875.0,13873,390599,64314809,10644675,10439006
4468446,221,903,32371,74761889.0,13,269510864,8155,694242,71420002.0,13873,390599,65025570,10948599,10739100
4475119,221,903,32371,75762544.0,13,269569880,8223,700042,72421297.0,13873,390599,65855914,11816480,11588547
4530650,221,903,32371,76755684.0,13,269667680,8291,708527,73423312.0,13873,390599,66787425,11937357,11704879
4538319,221,903,32371,77760123.0,13,271060416,8357,715026,74428347.0,13873,390599,67659220,12611986,12368480
4549905,221,903,32371,78784163.0,13,271148032,8434,721789,75454978.0,13873,390599,68506759,13463754,13202939
4641560,221,903,32371,79788496.0,13,271217800,8518,732741,76459947.0,13873,390599,69446025,13482452,13218048
4651689,221,903,32371,80795729.0,13,271537288,8592,740120,77467995.0,13873,390599,70314643,14144529,13869123
