Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,32019,3880879.0,0,243310216,0,0,33566.0,0,397336,0,0,0
2307750,162,789,32019,4913006.0,13,253239258,191,9135,1098081.0,11712,385624,73894,91716,77715
4096146,216,855,32019,5921135.0,12,257908614,299,28111,2131767.0,13110,384226,374840,412710,383743
4105552,216,855,32019,6952096.0,13,257946582,328,31931,3162989.0,13110,384226,1383304,1436762,1400409
4107722,216,855,32019,7960710.0,13,257990062,358,36011,4172566.0,13110,384226,2372940,2442122,2398641
4109787,217,855,32019,8985541.0,13,258034782,388,40108,5197939.0,13118,384218,3378533,3463288,3412823
4213007,217,855,32019,9986242.0,13,258164474,414,43579,6203395.0,13118,384218,4323789,4424944,4365925
4220149,217,855,32019,10986413.0,13,258202718,441,47257,7203815.0,13118,384218,5303310,5419265,5353550
4221542,217,855,32019,12012351.0,13,258659622,465,50573,8230078.0,13118,384218,6312883,6442387,6370604
4223492,217,855,32019,13044931.0,13,258289822,493,54395,9262924.0,13118,384218,7327036,7471395,7393008
4326909,217,855,32019,14071658.0,13,258397226,520,58094,10289956.0,13118,384218,8293527,8454501,8367373
4387502,220,852,32019,15084650.0,12,258445010,541,61028,11320137.0,13125,384211,9068836,9243092,9149340
4393811,220,852,32019,16102685.0,13,258522950,565,64463,12338493.0,13125,384211,10069940,10256781,10157791
4395733,220,852,32019,17106193.0,13,258562030,592,68135,13342586.0,13125,384211,11055509,11256882,11151105
4397770,220,852,32019,18114384.0,13,259020406,621,72087,14351162.0,13125,384211,12044973,12261453,12149040
4458179,220,852,32019,19123207.0,13,258703022,642,75314,15364265.0,13125,384211,13017777,13247584,13128760
4459977,220,852,32019,20123753.0,13,258741894,669,78986,16365092.0,13125,384211,14000220,14244235,14119048
4461883,220,852,32019,21157313.0,13,258783758,696,82682,17398955.0,13125,384211,15014909,15274169,15141966
4463743,220,852,32019,22166893.0,13,258825486,725,86626,18408801.0,13125,384211,16005763,16279813,16141141
4569732,220,852,32019,23178940.0,13,258937398,751,90483,19421091.0,13125,384211,16959596,17249791,17103118
4571840,220,852,32019,24200980.0,13,258979446,780,94427,20443430.0,13125,384211,17962527,18267955,18114411
4573390,220,852,32019,25215686.0,13,259013294,803,97555,21462435.0,13125,384211,18752192,19069387,18910645
4574624,220,852,32019,26236534.0,13,259469982,827,100871,22483674.0,13125,384211,19756978,20087693,19923186
4680357,220,852,32019,27267843.0,13,259165398,851,104808,23515220.0,13125,384211,20729926,21076367,20903526
4682155,220,852,32019,28275445.0,13,259205598,879,108616,24523077.0,13125,384211,21719268,22080285,21901037
4684131,220,852,32019,29284984.0,13,259247046,907,112434,25532959.0,13125,384211,22709691,23085939,22899713
4685929,220,852,32019,30296344.0,13,259288670,936,116378,26544539.0,13125,384211,23702706,24093677,23901098
4792013,220,852,32019,31329773.0,13,259401278,962,120427,27578206.0,13125,384211,24674002,25081899,24880382
4793636,220,852,32019,32331181.0,13,259442014,989,124123,28583825.0,13125,384211,25660520,26083134,25874697
4795558,220,852,32019,33349126.0,13,259483030,1017,127931,29602006.0,13125,384211,26659209,27097468,26882557
4899624,220,852,32019,34378583.0,12,259623834,1043,132451,30631680.0,13125,384211,27612707,28071680,27845298
4957014,220,852,32019,35391532.0,12,259674910,1062,142105,31652949.0,13125,384211,28366999,28852629,28608291
4958106,220,852,32019,36389283.0,13,259740326,1083,153091,32655418.0,13125,384211,29337372,29851868,29586147
4959966,220,852,32019,37424090.0,13,259791606,1108,166166,33690494.0,13125,384211,30333585,30882675,30590680
4961702,220,852,32019,38426161.0,13,259881174,1132,178718,34692779.0,13125,384211,31297982,31880545,31563081
5062302,220,852,32019,39464166.0,13,259995950,1155,191068,35731213.0,13125,384211,32253218,32875000,32527007
5063898,220,852,32019,40466655.0,13,260042670,1178,203118,36734023.0,13125,384211,33220110,33874015,33501706
5065696,220,852,32019,41486489.0,13,260089366,1202,215670,37758213.0,13125,384211,34205704,34893837,34495857
5166504,220,852,32019,42487173.0,13,260201814,1226,228981,38759376.0,13125,384211,35119920,35851892,35420716
5168253,220,852,32019,43502327.0,13,260252982,1250,241540,39774966.0,13125,384211,36097067,36863326,36406656
5169989,220,852,32019,44511350.0,13,260298806,1274,254092,40784236.0,13125,384211,37068716,37868428,37386631
5270570,220,852,32019,45522507.0,12,260382142,1292,265187,41799572.0,13125,384211,37790639,38632554,38117391
5325977,220,852,32019,46553430.0,13,260488494,1315,279186,42830823.0,13125,384211,38755771,39638026,39094090
5327713,220,852,32019,47574312.0,13,260534318,1339,291738,43851985.0,13125,384211,39738832,40654953,40085602
5428285,220,852,32019,48621679.0,13,261440006,1360,305505,44899564.0,13125,384211,40691738,41657377,41050956
5429642,220,852,32019,49640827.0,13,260687854,1381,316502,45918933.0,13125,384211,41677930,42673277,42045182
5584513,220,852,32019,50663110.0,12,261339118,1404,331410,46941408.0,13125,384211,42583541,43630186,42962911
5640053,220,852,32019,51692263.0,12,260905630,1427,351170,47970758.0,13125,384211,43525175,44633538,43920072
5896736,226,846,32019,52704916.0,11,261690546,1459,367239,48983616.0,13157,384179,44364162,45539619,44771201
5906085,226,846,32019,53738123.0,12,261696182,1485,370577,50017049.0,13157,384179,45374944,46566136,45789691
5908131,226,846,32019,54760937.0,12,261733310,1513,374161,51040064.0,13157,384179,46376573,47584762,46799643
5909514,226,846,32019,55782725.0,12,261763238,1534,376866,52066174.0,13157,384179,47181886,48403350,47611562
6010703,226,846,32019,56793915.0,11,261909322,1560,380162,53077576.0,13157,384179,48130081,49371235,48568264
