Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime
0,0,0,32371,4393853.0,0,247642752,0,0,117663.0,0,404472,0,0,0
516826,148,853,32371,5431145.0,15,257058776,93,2735,1207713.0,12416,392056,723384,766555,762836
1404940,153,848,32371,6421555.0,14,257138768,171,5396,2212158.0,12416,392056,1286944,1381831,1371197
3175665,170,844,32371,7407271.0,12,257808816,200,6615,3219724.0,12574,391898,1517697,1656110,1628132
3829316,198,913,32371,8373023.0,12,261537192,275,16884,4221180.0,13730,390742,2172508,2378189,2342285
3838925,199,912,32371,9345747.0,12,261426728,354,19442,5225673.0,13734,390738,3100791,3375629,3320977
4004000,211,907,32371,10317157.0,13,262231416,432,25100,6229075.0,13807,390665,3958463,4303223,4232926
4010659,211,907,32371,11299702.0,13,262391504,510,27637,7241484.0,13807,390665,4892380,5309506,5217641
4166260,215,907,32371,12202225.0,12,265723040,546,28841,8243692.0,13849,390623,5794126,6246050,6143980
4180736,217,906,32371,13195678.0,13,267514688,626,37693,9252509.0,13858,390614,6611898,7244112,7124659
4294112,218,906,32371,14189830.0,13,268026248,693,42884,10253081.0,13866,390606,7379033,8193622,8052896
4296897,218,906,32371,15087592.0,13,268079480,739,46492,11261080.0,13866,390606,7925559,8869558,8715230
4409717,218,906,32371,16058942.0,13,267339120,797,50982,12261207.0,13866,390606,8709186,9819232,9644522
4474251,221,903,32371,17050806.0,13,267835096,865,56267,13271855.0,13873,390599,9499636,10796199,10602820
4538691,221,903,32371,18054427.0,13,268507600,931,61406,14278999.0,13873,390599,10286297,11770429,11558609
4643998,221,903,32371,19081503.0,13,269752856,992,66160,15305818.0,13873,390599,11081839,12748346,12514788
4654045,221,903,32371,20091618.0,13,269846824,1064,71714,16315640.0,13873,390599,11892844,13749662,13495760
4763883,221,903,32371,21103805.0,13,270255072,1125,76550,17327537.0,13873,390599,12664337,14713844,14439932
4768587,221,903,32371,22108343.0,13,270327200,1197,82104,18331948.0,13873,390599,13475793,15712064,15418365
4878483,221,903,32371,23118153.0,13,270782232,1253,86499,19342956.0,13873,390599,14254053,16666827,16352934
4988820,221,903,32371,24125687.0,12,267768024,1311,91243,20350181.0,13873,390599,14975927,17624280,17287934
5045319,221,903,32371,25141820.0,13,274033496,1337,94214,21366028.0,13873,390599,15414270,18402690,18037654
